# TEST CONFIGURATION BEGIN
# FileStream(filename='elec.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] OzaBaggingAdwin(base_estimator=KNNAdwin(leaf_size=30, max_window_size=1000, n_neighbors=5, nominal_attributes=None), n_estimators=10, random_state=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.OzaBaggingAdwin.elec.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,1.000000,1.000000,1.000000,1.000000
399,0.820000,0.820000,0.464046,0.464046
599,0.872500,0.925000,0.617519,0.773414
799,0.840000,0.775000,0.629549,0.551167
999,0.801250,0.685000,0.549237,0.326491
1199,0.796000,0.775000,0.528356,0.433820
1399,0.785833,0.735000,0.525150,0.502160
1599,0.787143,0.795000,0.531803,0.566962
1799,0.787500,0.790000,0.539981,0.579032
1999,0.792778,0.835000,0.547282,0.625170
2199,0.790000,0.765000,0.548277,0.540926
2399,0.795000,0.845000,0.566655,0.691174
2599,0.802083,0.880000,0.580953,0.744817
2799,0.804615,0.835000,0.577035,0.226442
2999,0.808571,0.860000,0.586391,0.705418
3199,0.811667,0.855000,0.589464,0.620021
3399,0.808438,0.760000,0.577476,0.290046
3599,0.810294,0.840000,0.587862,0.679327
3799,0.814167,0.880000,0.596733,0.744246
3999,0.815789,0.845000,0.596469,0.544386
4199,0.814000,0.780000,0.597012,0.568289
4399,0.806667,0.660000,0.580639,0.276596
4599,0.807500,0.825000,0.581400,0.596495
4799,0.804348,0.735000,0.578426,0.492434
4999,0.803333,0.780000,0.576222,0.525606
5199,0.802600,0.785000,0.578400,0.563452
5399,0.802115,0.790000,0.577767,0.562910
5599,0.802407,0.810000,0.575830,0.457763
5799,0.802679,0.810000,0.576548,0.598648
5999,0.801897,0.780000,0.575086,0.537767
6199,0.798667,0.705000,0.567610,0.363401
6399,0.794355,0.665000,0.560966,0.364688
6599,0.794063,0.785000,0.561283,0.563452
6799,0.794848,0.820000,0.566132,0.620893
6999,0.795882,0.830000,0.570322,0.658051
7199,0.796714,0.825000,0.573852,0.647604
7399,0.799861,0.910000,0.582309,0.815951
7599,0.800405,0.820000,0.584514,0.640252
7799,0.802237,0.870000,0.589696,0.736922
7999,0.802692,0.820000,0.591611,0.640000
8199,0.804500,0.875000,0.595740,0.749147
8399,0.801585,0.685000,0.590264,0.370378
8599,0.800833,0.770000,0.589524,0.545095
8799,0.801047,0.810000,0.589910,0.606136
8999,0.800341,0.770000,0.588925,0.543424
9199,0.802111,0.880000,0.594197,0.722736
9399,0.802717,0.830000,0.596053,0.658874
9599,0.802340,0.785000,0.595726,0.573328
9799,0.802188,0.795000,0.595529,0.595102
9999,0.802449,0.815000,0.595628,0.587698
10199,0.800900,0.725000,0.592222,0.419831
10399,0.799510,0.730000,0.588880,0.389417
10599,0.799135,0.780000,0.588234,0.558897
10799,0.800849,0.890000,0.592451,0.776241
10999,0.797130,0.600000,0.584747,0.170383
11199,0.796364,0.755000,0.583213,0.501018
11399,0.795536,0.750000,0.581687,0.497992
11599,0.793860,0.700000,0.578806,0.411303
11799,0.794138,0.810000,0.579654,0.620190
11999,0.793983,0.785000,0.579925,0.566357
12199,0.793583,0.770000,0.579355,0.542243
12399,0.794508,0.850000,0.581827,0.690817
12599,0.794839,0.815000,0.582514,0.625506
12799,0.796349,0.890000,0.586033,0.776989
12999,0.797500,0.870000,0.588534,0.739792
13199,0.795923,0.695000,0.585434,0.393156
13399,0.795682,0.780000,0.584627,0.510022
13599,0.795597,0.790000,0.584693,0.582006
13799,0.795735,0.805000,0.585099,0.610467
13999,0.794928,0.740000,0.582929,0.336735
14199,0.794786,0.785000,0.582743,0.579092
14399,0.794648,0.785000,0.582246,0.556152
14599,0.794861,0.810000,0.582340,0.570912
14799,0.792603,0.630000,0.577522,0.211844
14999,0.791351,0.700000,0.574769,0.362719
15199,0.790000,0.690000,0.571845,0.353965
15399,0.789211,0.730000,0.570212,0.447570
15599,0.787922,0.690000,0.567705,0.378508
15799,0.787821,0.780000,0.566970,0.442191
15999,0.788165,0.815000,0.567270,0.571561
16199,0.788375,0.805000,0.567169,0.498715
16399,0.788519,0.800000,0.567011,0.514563
16599,0.788049,0.750000,0.566457,0.495153
16799,0.788795,0.850000,0.568304,0.699399
16999,0.788869,0.795000,0.568442,0.582059
17199,0.788941,0.795000,0.568488,0.570411
17399,0.789593,0.845000,0.569553,0.656091
17599,0.790000,0.825000,0.569896,0.553458
17799,0.790795,0.860000,0.571230,0.682215
17999,0.791404,0.845000,0.572499,0.684639
18199,0.790111,0.675000,0.570169,0.392523
18399,0.790440,0.820000,0.570818,0.631148
18599,0.790598,0.805000,0.571388,0.609922
18799,0.790753,0.805000,0.571911,0.611631
18999,0.791117,0.825000,0.572902,0.649860
19199,0.790947,0.775000,0.573002,0.542590
19399,0.789844,0.685000,0.570660,0.348905
19599,0.788454,0.655000,0.567860,0.304435
19799,0.787908,0.735000,0.566432,0.379246
19999,0.788030,0.800000,0.566716,0.595142
