# TEST CONFIGURATION BEGIN
# FileStream(filename='hyperplane_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] OzaBaggingAdwin(base_estimator=KNNAdwin(leaf_size=30, max_window_size=1000, n_neighbors=5, nominal_attributes=None), n_estimators=10, random_state=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.OzaBaggingAdwin.hyperplane_gen.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,0.000000,0.000000,0.000000,0.000000
399,0.620000,0.620000,0.234488,0.234488
599,0.582500,0.545000,0.165876,0.091635
799,0.548333,0.480000,0.096928,-0.040520
999,0.550000,0.555000,0.100337,0.110356
1199,0.550000,0.550000,0.099726,0.097111
1399,0.550833,0.555000,0.101846,0.103726
1599,0.553571,0.570000,0.107449,0.140000
1799,0.561875,0.620000,0.123701,0.249012
1999,0.564444,0.585000,0.128837,0.175933
2199,0.569000,0.610000,0.137934,0.220234
2399,0.574091,0.625000,0.148135,0.251497
2599,0.569583,0.520000,0.139170,0.033816
2799,0.563077,0.485000,0.126183,-0.027739
2999,0.562143,0.550000,0.124252,0.099189
3199,0.566000,0.620000,0.132043,0.239011
3399,0.568750,0.610000,0.137511,0.217417
3599,0.569118,0.575000,0.138248,0.148979
3799,0.573333,0.645000,0.146652,0.284995
3999,0.576842,0.640000,0.153640,0.277471
4199,0.579000,0.620000,0.157935,0.239620
4399,0.581905,0.640000,0.163742,0.280216
4599,0.580000,0.540000,0.159848,0.069579
4799,0.581522,0.615000,0.162771,0.222065
4999,0.581042,0.570000,0.161687,0.132627
5199,0.581600,0.595000,0.162686,0.187237
5399,0.581538,0.580000,0.162631,0.166667
5599,0.584630,0.665000,0.168822,0.330268
5799,0.585357,0.605000,0.170234,0.210000
5999,0.584483,0.560000,0.168567,0.118678
6199,0.586500,0.645000,0.172603,0.289716
6399,0.585806,0.565000,0.171274,0.129478
6599,0.587344,0.635000,0.174387,0.269854
6799,0.587424,0.590000,0.174555,0.183267
6999,0.587206,0.580000,0.174258,0.140753
7199,0.586429,0.560000,0.172727,0.120000
7399,0.586944,0.605000,0.173767,0.210474
7599,0.587568,0.610000,0.175024,0.220234
7799,0.590526,0.700000,0.180962,0.399460
7999,0.590385,0.585000,0.180668,0.169169
8199,0.591625,0.640000,0.183131,0.278268
8399,0.592439,0.625000,0.184771,0.251348
8599,0.591905,0.570000,0.183713,0.142059
8799,0.593023,0.640000,0.185969,0.279496
8999,0.591932,0.545000,0.183808,0.087262
9199,0.592333,0.610000,0.184629,0.217182
9399,0.592826,0.615000,0.185613,0.230000
9599,0.594362,0.665000,0.188680,0.330000
9799,0.594167,0.585000,0.188288,0.170829
9999,0.594388,0.605000,0.188731,0.210000
10199,0.595100,0.630000,0.190145,0.260000
10399,0.595098,0.595000,0.190143,0.190486
10599,0.596923,0.690000,0.193789,0.380000
10799,0.597547,0.630000,0.195048,0.258888
10999,0.597778,0.610000,0.195499,0.222798
11199,0.598091,0.615000,0.196129,0.230000
11399,0.599018,0.650000,0.197995,0.300839
11599,0.597632,0.520000,0.195226,0.040384
11799,0.599741,0.720000,0.199440,0.440839
11999,0.599492,0.585000,0.198963,0.162969
12199,0.600167,0.640000,0.200331,0.269481
12399,0.599180,0.540000,0.198364,0.079540
12599,0.599516,0.620000,0.199031,0.243405
12799,0.600397,0.655000,0.200795,0.302043
12999,0.601016,0.640000,0.202028,0.276018
13199,0.599692,0.515000,0.199382,0.032515
13399,0.599773,0.605000,0.199541,0.211734
13599,0.599851,0.605000,0.199695,0.208575
13799,0.599853,0.600000,0.199697,0.206664
13999,0.600942,0.675000,0.201866,0.343302
14199,0.601714,0.655000,0.203414,0.309171
14399,0.601901,0.615000,0.203793,0.229538
14599,0.603125,0.690000,0.206242,0.379690
14799,0.603356,0.620000,0.206708,0.238095
14999,0.604324,0.675000,0.208648,0.343567
15199,0.604400,0.610000,0.208802,0.218437
15399,0.604211,0.590000,0.208425,0.180737
15599,0.604026,0.590000,0.208054,0.180737
15799,0.603974,0.600000,0.207951,0.198075
15999,0.603924,0.600000,0.207850,0.200000
16199,0.602563,0.495000,0.205129,-0.007783
16399,0.602346,0.585000,0.204694,0.170000
16599,0.602134,0.585000,0.204272,0.170332
16799,0.601867,0.580000,0.203740,0.161342
16999,0.601905,0.605000,0.203808,0.199919
17199,0.601882,0.600000,0.203765,0.193792
17399,0.601919,0.605000,0.203837,0.211577
17599,0.602586,0.660000,0.205172,0.327997
17799,0.602500,0.595000,0.205000,0.185111
17999,0.602528,0.605000,0.205057,0.215959
18199,0.602778,0.625000,0.205556,0.250600
18399,0.603077,0.630000,0.206155,0.260000
18599,0.603533,0.645000,0.207068,0.290709
18799,0.604032,0.650000,0.208070,0.301746
18999,0.603883,0.590000,0.207774,0.179426
19199,0.604105,0.625000,0.208217,0.249099
19399,0.603750,0.570000,0.207509,0.140000
19599,0.603711,0.600000,0.207433,0.200639
19799,0.603776,0.610000,0.207557,0.221246
19999,0.603586,0.585000,0.207175,0.171822
