# TEST CONFIGURATION BEGIN
# FileStream(filename='led_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] OzaBaggingAdwin(base_estimator=KNNAdwin(leaf_size=30, max_window_size=1000, n_neighbors=5, nominal_attributes=None), n_estimators=10, random_state=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.OzaBaggingAdwin.led_gen.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,0.000000,0.000000,0.000000,0.000000
399,0.215000,0.215000,0.128552,0.128552
599,0.252500,0.290000,0.169173,0.208230
799,0.241667,0.220000,0.156199,0.130580
999,0.243750,0.250000,0.158097,0.164159
1199,0.244000,0.245000,0.158961,0.163551
1399,0.232500,0.175000,0.145620,0.074931
1599,0.232857,0.235000,0.146321,0.149315
1799,0.244375,0.325000,0.159075,0.246042
1999,0.245556,0.255000,0.160262,0.168388
2199,0.248500,0.275000,0.163518,0.190329
2399,0.249091,0.255000,0.164429,0.172659
2599,0.253333,0.300000,0.169163,0.220077
2799,0.253462,0.255000,0.169307,0.172659
2999,0.251786,0.230000,0.167257,0.138919
3199,0.251667,0.250000,0.167180,0.167060
3399,0.249062,0.210000,0.164356,0.122173
3599,0.246176,0.200000,0.161231,0.110790
3799,0.242500,0.180000,0.157296,0.088002
3999,0.242632,0.245000,0.157360,0.158376
4199,0.241000,0.210000,0.155585,0.121808
4399,0.241190,0.245000,0.155850,0.160365
4599,0.241818,0.255000,0.156554,0.171601
4799,0.240870,0.220000,0.155456,0.129974
4999,0.238958,0.195000,0.153485,0.104187
5199,0.238200,0.220000,0.152723,0.132200
5399,0.235962,0.180000,0.150319,0.089799
5599,0.237407,0.275000,0.151893,0.192381
5799,0.236429,0.210000,0.150820,0.121637
5999,0.236724,0.245000,0.151203,0.158470
6199,0.235833,0.210000,0.150308,0.121783
6399,0.234032,0.180000,0.148351,0.087368
6599,0.235313,0.275000,0.149784,0.193907
6799,0.236212,0.265000,0.150771,0.181013
6999,0.236176,0.235000,0.150784,0.144056
7199,0.235429,0.210000,0.150006,0.123075
7399,0.233194,0.155000,0.147549,0.062387
7599,0.232973,0.225000,0.147317,0.136707
7799,0.233158,0.240000,0.147553,0.157778
7999,0.232564,0.210000,0.146942,0.122490
8199,0.233875,0.285000,0.148415,0.204937
8399,0.233659,0.225000,0.148189,0.136971
8599,0.232619,0.190000,0.147048,0.099875
8799,0.232093,0.210000,0.146451,0.120708
8999,0.232500,0.250000,0.146905,0.166203
9199,0.232778,0.245000,0.147209,0.160225
9399,0.232065,0.200000,0.146413,0.108387
9599,0.231702,0.215000,0.146017,0.126589
9799,0.231042,0.200000,0.145295,0.111333
9999,0.231122,0.235000,0.145399,0.150684
10199,0.230400,0.195000,0.144595,0.103988
10399,0.230098,0.215000,0.144227,0.122783
10599,0.231250,0.290000,0.145521,0.210695
10799,0.230472,0.190000,0.144661,0.100699
10999,0.230463,0.230000,0.144647,0.140409
11199,0.231000,0.260000,0.145248,0.176245
11399,0.231518,0.260000,0.145830,0.176726
11599,0.231579,0.235000,0.145918,0.149787
11799,0.231724,0.240000,0.146094,0.156446
11999,0.231356,0.210000,0.145694,0.122295
12199,0.230667,0.190000,0.144936,0.095326
12399,0.230410,0.215000,0.144661,0.127463
12599,0.231048,0.270000,0.145386,0.190485
12799,0.231111,0.235000,0.145458,0.146420
12999,0.231953,0.285000,0.146406,0.206767
13199,0.232000,0.235000,0.146444,0.146372
13399,0.230909,0.160000,0.145247,0.063023
13599,0.230970,0.235000,0.145325,0.150684
13799,0.231324,0.255000,0.145721,0.171371
13999,0.231232,0.225000,0.145642,0.140727
14199,0.231786,0.270000,0.146252,0.188032
14399,0.231338,0.200000,0.145775,0.112836
14599,0.231597,0.250000,0.146049,0.162760
14799,0.231712,0.240000,0.146166,0.154334
14999,0.231689,0.230000,0.146149,0.143874
15199,0.232067,0.260000,0.146569,0.175878
15399,0.231382,0.180000,0.145812,0.089066
15599,0.230649,0.175000,0.144967,0.072565
15799,0.230577,0.225000,0.144887,0.139510
15999,0.230696,0.240000,0.145009,0.152755
16199,0.230375,0.205000,0.144646,0.115881
16399,0.230988,0.280000,0.145323,0.199466
16599,0.231220,0.250000,0.145557,0.161144
16799,0.231325,0.240000,0.145672,0.154593
16999,0.231310,0.230000,0.145672,0.144539
17199,0.231059,0.210000,0.145388,0.121685
17399,0.230465,0.180000,0.144741,0.088737
17599,0.230690,0.250000,0.144986,0.164578
17799,0.230341,0.200000,0.144617,0.109999
17999,0.230225,0.220000,0.144503,0.132683
18199,0.229889,0.200000,0.144129,0.110197
18399,0.229670,0.210000,0.143881,0.121099
18599,0.229457,0.210000,0.143640,0.122490
18799,0.229355,0.220000,0.143547,0.130265
18999,0.229096,0.205000,0.143252,0.113663
19199,0.228895,0.210000,0.143037,0.119655
19399,0.229271,0.265000,0.143462,0.182379
19599,0.229330,0.235000,0.143533,0.150071
19799,0.228929,0.190000,0.143082,0.099400
19999,0.228535,0.190000,0.142647,0.100949
