# TEST CONFIGURATION BEGIN
# FileStream(filename='pokerhand.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] OzaBaggingAdwin(base_estimator=KNNAdwin(leaf_size=30, max_window_size=1000, n_neighbors=5, nominal_attributes=None), n_estimators=10, random_state=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.OzaBaggingAdwin.pokerhand.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,1.000000,1.000000,1.000000,1.000000
399,0.750000,0.750000,0.514752,0.514752
599,0.792500,0.835000,0.604583,0.208443
799,0.773333,0.735000,0.539768,0.380081
999,0.750000,0.680000,0.532459,0.370976
1199,0.776000,0.880000,0.587964,0.494949
1399,0.792500,0.875000,0.610019,0.565671
1599,0.798571,0.835000,0.610071,0.452191
1799,0.795625,0.775000,0.594991,0.413413
1999,0.800556,0.840000,0.620459,0.539303
2199,0.799000,0.785000,0.625276,0.291131
2399,0.790909,0.710000,0.607404,0.241929
2599,0.796667,0.860000,0.611784,0.288799
2799,0.799615,0.835000,0.609701,0.237875
2999,0.806071,0.890000,0.614082,0.445145
3199,0.808333,0.840000,0.612474,0.503722
3399,0.808750,0.815000,0.626134,0.234747
3599,0.805294,0.750000,0.623488,0.341975
3799,0.806111,0.820000,0.620190,0.180328
3999,0.813158,0.940000,0.627312,0.236641
4199,0.817000,0.890000,0.629135,0.420290
4399,0.820952,0.900000,0.630895,0.370079
4599,0.814091,0.670000,0.616416,0.298544
4799,0.814783,0.830000,0.615122,0.529086
4999,0.813542,0.785000,0.609185,0.358353
5199,0.813000,0.800000,0.604764,0.386879
5399,0.807885,0.680000,0.595235,0.387384
5599,0.808148,0.815000,0.609531,0.305164
5799,0.804286,0.700000,0.602545,0.437518
5999,0.805517,0.840000,0.601256,0.433127
6199,0.807333,0.860000,0.601120,0.475164
6399,0.808226,0.835000,0.599815,0.486221
6599,0.804219,0.680000,0.596256,0.410573
6799,0.802424,0.745000,0.599919,0.265606
6999,0.796324,0.595000,0.585819,0.141221
7199,0.798571,0.875000,0.586479,0.387855
7399,0.800833,0.880000,0.588287,0.613215
7599,0.802027,0.845000,0.594453,0.688239
7799,0.803421,0.855000,0.601865,0.536556
7999,0.804359,0.840000,0.600502,0.256678
8199,0.807750,0.940000,0.603930,0.637681
8399,0.810976,0.940000,0.607388,0.707816
8599,0.807262,0.655000,0.599508,0.273990
8799,0.806512,0.775000,0.596285,0.371815
8999,0.805682,0.770000,0.593852,0.487065
9199,0.804333,0.745000,0.596126,0.391952
9399,0.804348,0.805000,0.599570,0.631589
9599,0.805106,0.840000,0.599595,0.570815
9799,0.806875,0.890000,0.601431,0.672107
9999,0.806939,0.810000,0.604499,0.634158
10199,0.807900,0.855000,0.610161,0.646858
10399,0.808627,0.845000,0.609794,0.503046
10599,0.810288,0.895000,0.611413,0.665285
10799,0.812075,0.905000,0.618192,0.753615
10999,0.811944,0.805000,0.616934,0.525201
11199,0.814182,0.935000,0.619342,0.698516
11399,0.813036,0.750000,0.616219,0.388005
11599,0.812544,0.785000,0.614105,0.364610
11799,0.810603,0.700000,0.610066,0.388815
11999,0.809831,0.765000,0.612757,0.329816
12199,0.809500,0.790000,0.612946,0.624883
12399,0.810656,0.880000,0.614461,0.704579
12599,0.810403,0.795000,0.617952,0.579163
12799,0.810159,0.795000,0.617092,0.569780
12999,0.810781,0.850000,0.617767,0.657769
13199,0.812385,0.915000,0.623504,0.795045
13399,0.814091,0.925000,0.624853,0.371333
13599,0.812836,0.730000,0.622228,0.446097
13799,0.812059,0.760000,0.620026,0.430639
13999,0.810072,0.675000,0.618786,0.318372
14199,0.810000,0.805000,0.617821,0.513048
14399,0.810211,0.825000,0.620964,0.615617
14599,0.810417,0.825000,0.620275,0.494366
14799,0.811438,0.885000,0.624171,0.761757
14999,0.811284,0.800000,0.623139,0.493286
15199,0.810133,0.725000,0.622046,0.520822
15399,0.809474,0.760000,0.621213,0.559492
15599,0.809156,0.785000,0.622046,0.594493
15799,0.809167,0.810000,0.622657,0.646906
15999,0.808481,0.755000,0.622196,0.566889
16199,0.807937,0.765000,0.622904,0.573561
16399,0.807469,0.770000,0.622309,0.576232
16599,0.805366,0.635000,0.619722,0.419321
16799,0.803373,0.640000,0.619238,0.408746
16999,0.804048,0.860000,0.623471,0.557137
17199,0.804588,0.850000,0.627310,0.572040
17399,0.804593,0.805000,0.629360,0.461326
17599,0.802759,0.645000,0.627887,0.198329
17799,0.803068,0.830000,0.630457,0.403037
17999,0.803258,0.820000,0.633073,0.504916
18199,0.802722,0.755000,0.633924,0.304027
18399,0.801978,0.735000,0.634682,0.335507
18599,0.802391,0.840000,0.636766,0.377916
18799,0.803387,0.895000,0.639668,0.500832
18999,0.804468,0.905000,0.642428,0.442815
19199,0.804474,0.805000,0.643340,0.276706
19399,0.804896,0.845000,0.645052,0.398234
19599,0.804794,0.795000,0.645973,0.399311
19799,0.804592,0.785000,0.648994,0.668568
19999,0.805101,0.855000,0.655044,0.246362
