# TEST CONFIGURATION BEGIN
# FileStream(filename='rbf_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] OzaBaggingAdwin(base_estimator=KNNAdwin(leaf_size=30, max_window_size=1000, n_neighbors=5, nominal_attributes=None), n_estimators=10, random_state=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.OzaBaggingAdwin.rbf_gen.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,1.000000,1.000000,1.000000,1.000000
399,0.535000,0.535000,0.071671,0.071671
599,0.502500,0.470000,0.005000,-0.059047
799,0.501667,0.500000,0.003355,0.000100
999,0.497500,0.485000,-0.004900,-0.029382
1199,0.491000,0.465000,-0.018041,-0.070642
1399,0.490833,0.490000,-0.018486,-0.012407
1599,0.498571,0.545000,-0.002937,0.091091
1799,0.502500,0.530000,0.005685,0.069307
1999,0.507778,0.550000,0.016732,0.101796
2199,0.511000,0.540000,0.023032,0.079171
2399,0.514091,0.545000,0.028580,0.099188
2599,0.517917,0.560000,0.036266,0.120791
2799,0.519231,0.535000,0.038953,0.068696
2999,0.516786,0.485000,0.034225,-0.027534
3199,0.519000,0.550000,0.038573,0.096386
3399,0.517813,0.500000,0.036433,0.009018
3599,0.520588,0.565000,0.041471,0.130000
3799,0.520556,0.520000,0.041360,0.040000
3999,0.516842,0.450000,0.033898,-0.102204
4199,0.517000,0.520000,0.034041,0.036918
4399,0.519524,0.570000,0.038964,0.133763
4599,0.520455,0.540000,0.040780,0.080827
4799,0.522826,0.575000,0.045513,0.150000
4999,0.522292,0.510000,0.044252,0.018921
5199,0.522400,0.525000,0.044571,0.051896
5399,0.522692,0.530000,0.045299,0.064490
5599,0.522407,0.515000,0.044815,0.027081
5799,0.522857,0.535000,0.045744,0.071300
5999,0.523276,0.535000,0.046854,0.058132
6199,0.524500,0.560000,0.049367,0.092035
6399,0.525161,0.545000,0.050798,0.075955
6599,0.523750,0.480000,0.047892,-0.054018
6799,0.523788,0.525000,0.047764,0.081416
6999,0.523676,0.520000,0.047578,0.043062
7199,0.525143,0.575000,0.050457,0.152035
7399,0.525139,0.525000,0.050457,0.049430
7599,0.523514,0.465000,0.047191,-0.077760
7799,0.523553,0.525000,0.047285,0.045993
7999,0.522308,0.475000,0.044795,-0.050630
8199,0.521875,0.505000,0.043982,0.008413
8399,0.520976,0.485000,0.042215,-0.028971
8599,0.522143,0.570000,0.044551,0.140258
8799,0.522558,0.540000,0.045410,0.077417
8999,0.523977,0.585000,0.048173,0.164317
9199,0.524000,0.525000,0.048168,0.044266
9399,0.524022,0.525000,0.048186,0.044650
9599,0.524681,0.555000,0.049520,0.111599
9799,0.525104,0.545000,0.050354,0.088359
9999,0.526224,0.580000,0.052503,0.158401
10199,0.527500,0.590000,0.055012,0.183673
10399,0.527941,0.550000,0.055890,0.100450
10599,0.527115,0.485000,0.054231,-0.031031
10799,0.528113,0.580000,0.056226,0.160000
10999,0.527037,0.470000,0.054089,-0.062550
11199,0.527545,0.555000,0.055083,0.104087
11399,0.527321,0.515000,0.054628,0.030969
11599,0.527018,0.510000,0.053985,0.004065
11799,0.526897,0.520000,0.053785,0.043825
11999,0.527627,0.570000,0.055212,0.133065
12199,0.528083,0.555000,0.056070,0.098095
12399,0.527705,0.505000,0.055212,-0.003853
12599,0.528226,0.560000,0.056181,0.112456
12799,0.528730,0.560000,0.057134,0.114243
12999,0.528906,0.540000,0.057453,0.077509
13199,0.528692,0.515000,0.057020,0.029418
13399,0.528333,0.505000,0.056274,0.010989
13599,0.527910,0.500000,0.055423,0.002394
13799,0.527941,0.530000,0.055443,0.052037
13999,0.527754,0.515000,0.055109,0.038462
14199,0.527000,0.475000,0.053610,-0.049370
14399,0.527394,0.555000,0.054438,0.108395
14599,0.527153,0.510000,0.053967,0.023126
14799,0.527260,0.535000,0.054207,0.069628
14999,0.527095,0.515000,0.053939,0.034634
15199,0.526600,0.490000,0.052947,-0.020408
15399,0.526711,0.535000,0.053132,0.061743
15599,0.525714,0.450000,0.051093,-0.113360
15799,0.527051,0.630000,0.053730,0.253957
15999,0.527089,0.530000,0.053757,0.048583
16199,0.526750,0.500000,0.053099,0.003488
16399,0.527593,0.595000,0.054708,0.177498
16599,0.526890,0.470000,0.053233,-0.064257
16799,0.527108,0.545000,0.053585,0.074451
16999,0.526369,0.465000,0.052059,-0.079500
17199,0.526353,0.525000,0.052022,0.050570
17399,0.526570,0.545000,0.052438,0.090000
17599,0.527874,0.640000,0.054972,0.271255
17799,0.527557,0.500000,0.054339,-0.000500
17999,0.527416,0.515000,0.054037,0.027666
18199,0.527333,0.520000,0.053801,0.025974
18399,0.527033,0.500000,0.053104,-0.017812
18599,0.526848,0.510000,0.052733,0.029319
18799,0.527204,0.560000,0.053537,0.130005
18999,0.527234,0.530000,0.053650,0.060000
19199,0.526895,0.495000,0.052992,-0.008185
19399,0.526823,0.520000,0.052937,0.036145
19599,0.527062,0.550000,0.053446,0.099189
19799,0.527092,0.530000,0.053529,0.059718
19999,0.526818,0.500000,0.053005,0.002394
