# TEST CONFIGURATION BEGIN
# FileStream(filename='sea_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] OzaBaggingAdwin(base_estimator=KNNAdwin(leaf_size=30, max_window_size=1000, n_neighbors=5, nominal_attributes=None), n_estimators=10, random_state=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.OzaBaggingAdwin.sea_gen.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,0.000000,0.000000,0.000000,0.000000
399,0.785000,0.785000,0.556975,0.556975
599,0.807500,0.830000,0.607763,0.657258
799,0.820000,0.845000,0.630555,0.677822
999,0.818750,0.815000,0.626592,0.614020
1199,0.826000,0.855000,0.641126,0.699731
1399,0.831667,0.860000,0.653469,0.714606
1599,0.828571,0.810000,0.649082,0.620000
1799,0.828750,0.830000,0.648831,0.646423
1999,0.825000,0.795000,0.641572,0.584178
2199,0.826500,0.840000,0.644428,0.670511
2399,0.829545,0.860000,0.648994,0.690368
2599,0.830000,0.835000,0.650200,0.663128
2799,0.828077,0.805000,0.646851,0.607013
2999,0.826429,0.805000,0.643829,0.604783
3199,0.824000,0.790000,0.638989,0.571647
3399,0.824375,0.830000,0.640190,0.656704
3599,0.826471,0.860000,0.644276,0.710654
3799,0.826944,0.835000,0.645993,0.670330
3999,0.829737,0.880000,0.651548,0.752959
4199,0.827000,0.775000,0.646101,0.543147
4399,0.824286,0.770000,0.640523,0.529460
4599,0.824545,0.830000,0.640797,0.646128
4799,0.824348,0.820000,0.640988,0.641184
4999,0.825417,0.850000,0.643396,0.697245
5199,0.823600,0.780000,0.639144,0.525862
5399,0.823462,0.820000,0.638801,0.630238
5599,0.824630,0.855000,0.640611,0.684371
5799,0.826250,0.870000,0.643575,0.724138
5999,0.825345,0.800000,0.641667,0.588138
6199,0.824833,0.810000,0.640746,0.615579
6399,0.825161,0.835000,0.640942,0.641304
6599,0.825156,0.825000,0.641552,0.650070
6799,0.824545,0.805000,0.640586,0.607883
6999,0.825000,0.840000,0.641756,0.677939
7199,0.825429,0.840000,0.642663,0.673603
7399,0.825417,0.825000,0.642606,0.641614
7599,0.826081,0.850000,0.644065,0.695740
7799,0.826316,0.835000,0.644397,0.655963
7999,0.826538,0.835000,0.644706,0.657392
8199,0.827375,0.860000,0.646340,0.710624
8399,0.826951,0.810000,0.645537,0.613507
8599,0.827976,0.870000,0.647596,0.732373
8799,0.828488,0.850000,0.648517,0.687533
8999,0.828295,0.820000,0.648031,0.626556
9199,0.828778,0.850000,0.648689,0.673025
9399,0.828804,0.830000,0.648468,0.633621
9599,0.829043,0.840000,0.649109,0.676800
9799,0.828854,0.820000,0.648590,0.622681
9999,0.828673,0.820000,0.648083,0.622047
10199,0.827400,0.765000,0.645611,0.525348
10399,0.827745,0.845000,0.646265,0.679089
10599,0.827212,0.800000,0.645032,0.579655
10799,0.827642,0.850000,0.645824,0.687533
10999,0.827407,0.815000,0.645152,0.606467
11199,0.828182,0.870000,0.646875,0.737612
11399,0.827768,0.805000,0.646039,0.600410
11599,0.826930,0.780000,0.643959,0.506228
11799,0.826638,0.810000,0.643114,0.587674
11999,0.826695,0.830000,0.642942,0.626743
12199,0.826583,0.820000,0.642350,0.592944
12399,0.826967,0.850000,0.642468,0.605678
12599,0.827097,0.835000,0.642018,0.554295
12799,0.827302,0.840000,0.641925,0.611650
12999,0.827500,0.840000,0.641767,0.600549
13199,0.827308,0.815000,0.640704,0.513542
13399,0.827273,0.825000,0.640130,0.575758
13599,0.827687,0.855000,0.640452,0.640911
13799,0.827279,0.800000,0.639053,0.501496
13999,0.827391,0.835000,0.638852,0.608634
14199,0.827714,0.850000,0.638922,0.612653
14399,0.828380,0.875000,0.639767,0.685218
14599,0.828264,0.820000,0.639120,0.575422
14799,0.828973,0.880000,0.640203,0.715134
14999,0.828919,0.825000,0.639660,0.579327
15199,0.828600,0.805000,0.638676,0.551621
15399,0.828750,0.840000,0.638578,0.616077
15599,0.829091,0.855000,0.638771,0.632632
15799,0.829423,0.855000,0.639233,0.673497
15999,0.830000,0.875000,0.639758,0.647192
16199,0.830688,0.885000,0.640771,0.717028
16399,0.831235,0.875000,0.641495,0.692421
16599,0.831463,0.850000,0.641601,0.639553
16799,0.831747,0.855000,0.641901,0.661768
16999,0.831726,0.830000,0.641276,0.544419
17199,0.831824,0.840000,0.641179,0.624765
17399,0.832442,0.885000,0.641981,0.700443
17599,0.832759,0.860000,0.642314,0.664430
17799,0.833182,0.870000,0.642747,0.667349
17999,0.833652,0.875000,0.643409,0.698723
18199,0.833944,0.860000,0.643783,0.675626
18399,0.834121,0.850000,0.643780,0.631992
18599,0.834185,0.840000,0.643574,0.611886
18799,0.834355,0.850000,0.643288,0.563192
18999,0.833936,0.795000,0.641909,0.467947
19199,0.833895,0.830000,0.641146,0.492537
19399,0.833750,0.820000,0.640522,0.566265
19599,0.833608,0.820000,0.639883,0.560976
19799,0.833724,0.845000,0.639546,0.560907
19999,0.833485,0.810000,0.638557,0.500197
