# TEST CONFIGURATION BEGIN
# FileStream(filename='stagger_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] OzaBaggingAdwin(base_estimator=KNNAdwin(leaf_size=30, max_window_size=1000, n_neighbors=5, nominal_attributes=None), n_estimators=10, random_state=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.OzaBaggingAdwin.stagger_gen.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,1.000000,1.000000,1.000000,1.000000
399,0.985000,0.985000,0.969605,0.969605
599,0.992500,1.000000,0.984985,1.000000
799,0.995000,1.000000,0.989939,1.000000
999,0.996250,1.000000,0.992397,1.000000
1199,0.997000,1.000000,0.993917,1.000000
1399,0.997500,1.000000,0.994917,1.000000
1599,0.997857,1.000000,0.995643,1.000000
1799,0.998125,1.000000,0.996196,1.000000
1999,0.998333,1.000000,0.996610,1.000000
2199,0.998500,1.000000,0.996951,1.000000
2399,0.998636,1.000000,0.997235,1.000000
2599,0.998750,1.000000,0.997463,1.000000
2799,0.998846,1.000000,0.997659,1.000000
2999,0.998929,1.000000,0.997824,1.000000
3199,0.999000,1.000000,0.997972,1.000000
3399,0.999062,1.000000,0.998101,1.000000
3599,0.999118,1.000000,0.998209,1.000000
3799,0.999167,1.000000,0.998311,1.000000
3999,0.999211,1.000000,0.998398,1.000000
4199,0.999250,1.000000,0.998477,1.000000
4399,0.999286,1.000000,0.998547,1.000000
4599,0.999318,1.000000,0.998616,1.000000
4799,0.999348,1.000000,0.998677,1.000000
4999,0.999375,1.000000,0.998731,1.000000
5199,0.999400,1.000000,0.998782,1.000000
5399,0.999423,1.000000,0.998829,1.000000
5599,0.999444,1.000000,0.998872,1.000000
5799,0.999464,1.000000,0.998912,1.000000
5999,0.999483,1.000000,0.998950,1.000000
6199,0.999500,1.000000,0.998985,1.000000
6399,0.999516,1.000000,0.999018,1.000000
6599,0.999531,1.000000,0.999048,1.000000
6799,0.999545,1.000000,0.999078,1.000000
6999,0.999559,1.000000,0.999106,1.000000
7199,0.999571,1.000000,0.999132,1.000000
7399,0.999583,1.000000,0.999156,1.000000
7599,0.999595,1.000000,0.999179,1.000000
7799,0.999605,1.000000,0.999200,1.000000
7999,0.999615,1.000000,0.999221,1.000000
8199,0.999625,1.000000,0.999240,1.000000
8399,0.999634,1.000000,0.999259,1.000000
8599,0.999643,1.000000,0.999277,1.000000
8799,0.999651,1.000000,0.999294,1.000000
8999,0.999659,1.000000,0.999310,1.000000
9199,0.999667,1.000000,0.999326,1.000000
9399,0.999674,1.000000,0.999340,1.000000
9599,0.999681,1.000000,0.999354,1.000000
9799,0.999687,1.000000,0.999368,1.000000
9999,0.999694,1.000000,0.999381,1.000000
10199,0.999700,1.000000,0.999393,1.000000
10399,0.999706,1.000000,0.999405,1.000000
10599,0.999519,0.990000,0.999028,0.979968
10799,0.999151,0.980000,0.998282,0.958519
10999,0.998426,0.960000,0.996816,0.919638
11199,0.996636,0.900000,0.993196,0.797591
11399,0.993214,0.805000,0.986269,0.599178
11599,0.989298,0.770000,0.978340,0.528060
11799,0.984138,0.690000,0.967898,0.378010
11999,0.979068,0.685000,0.957616,0.332768
12199,0.976167,0.805000,0.951708,0.572837
12399,0.975738,0.950000,0.950788,0.883123
12599,0.975323,0.950000,0.949918,0.892750
12799,0.973413,0.855000,0.946032,0.706359
12999,0.972969,0.945000,0.945093,0.879121
13199,0.972538,0.945000,0.944184,0.880668
13399,0.972803,0.990000,0.944669,0.976830
13599,0.972463,0.950000,0.943950,0.893617
13799,0.972868,1.000000,0.944697,1.000000
13999,0.972826,0.970000,0.944552,0.928648
14199,0.973214,1.000000,0.945313,1.000000
14399,0.973592,1.000000,0.946061,1.000000
14599,0.973889,0.995000,0.946624,0.988649
14799,0.972877,0.900000,0.944551,0.796147
14999,0.973243,1.000000,0.945257,1.000000
15199,0.973600,1.000000,0.945987,1.000000
15399,0.973947,1.000000,0.946685,1.000000
15599,0.974026,0.980000,0.946820,0.956873
15799,0.974359,1.000000,0.947490,1.000000
15999,0.974684,1.000000,0.948117,1.000000
16199,0.975000,1.000000,0.948726,1.000000
16399,0.975062,0.980000,0.948823,0.956063
16599,0.975366,1.000000,0.949433,1.000000
16799,0.975663,1.000000,0.949998,1.000000
16999,0.975952,1.000000,0.950566,1.000000
17199,0.976235,1.000000,0.951109,1.000000
17399,0.976512,1.000000,0.951658,1.000000
17599,0.976782,1.000000,0.952198,1.000000
17799,0.977045,1.000000,0.952695,1.000000
17999,0.977303,1.000000,0.953199,1.000000
18199,0.977556,1.000000,0.953718,1.000000
18399,0.977802,1.000000,0.954172,1.000000
18599,0.978043,1.000000,0.954637,1.000000
18799,0.978280,1.000000,0.955076,1.000000
18999,0.978511,1.000000,0.955531,1.000000
19199,0.978737,1.000000,0.955987,1.000000
19399,0.978750,0.980000,0.955985,0.954437
19599,0.978969,1.000000,0.956423,1.000000
19799,0.979184,1.000000,0.956850,1.000000
19999,0.979394,1.000000,0.957262,1.000000
