# TEST CONFIGURATION BEGIN
# FileStream(filename='agrawal_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] PerceptronMask(alpha=0.0001, class_weight=None, early_stopping=False, eta0=1.0, fit_intercept=True, max_iter=None, n_iter=None, n_iter_no_change=5, n_jobs=None, penalty=None, random_state=0, shuffle=True, tol=None, validation_fraction=0.1, verbose=0, warm_start=False)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.PerceptronMask.agrawal_gen.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,0.000000,0.000000,0.000000,0.000000
399,0.615000,0.615000,-0.062655,-0.062655
599,0.605000,0.595000,0.020337,0.073439
799,0.573333,0.510000,0.011329,-0.034628
999,0.557500,0.510000,0.003133,-0.034738
1199,0.565000,0.595000,0.018546,0.081216
1399,0.571667,0.605000,0.031361,0.096110
1599,0.562143,0.505000,0.020870,-0.047841
1799,0.548125,0.450000,-0.002864,-0.167109
1999,0.537778,0.455000,-0.014392,-0.120477
2199,0.540000,0.560000,-0.013002,-0.002735
2399,0.537727,0.515000,-0.008568,0.009193
2599,0.540417,0.570000,-0.001724,0.073276
2799,0.541923,0.560000,-0.002488,-0.019462
2999,0.543214,0.560000,-0.003216,-0.019462
3199,0.550667,0.655000,0.009382,0.190141
3399,0.556875,0.650000,0.018260,0.150176
3599,0.554118,0.510000,0.010210,-0.123853
3799,0.556944,0.605000,0.012214,0.035880
3999,0.557368,0.565000,0.011508,-0.002997
4199,0.559750,0.605000,0.016407,0.110761
4399,0.559524,0.555000,0.016535,0.018959
4599,0.560000,0.570000,0.018011,0.048673
4799,0.560435,0.570000,0.018744,0.035009
4999,0.558958,0.525000,0.014785,-0.078320
5199,0.559600,0.575000,0.015608,0.035406
5399,0.557115,0.495000,0.011687,-0.082762
5599,0.559074,0.610000,0.012133,-0.000000
5799,0.560357,0.595000,0.015333,0.100999
5999,0.559655,0.540000,0.014933,0.002169
6199,0.561333,0.610000,0.017622,0.096699
6399,0.563065,0.615000,0.019922,0.088326
6599,0.561562,0.515000,0.017327,-0.062432
6799,0.560758,0.535000,0.014268,-0.091037
6999,0.559706,0.525000,0.012441,-0.047178
7199,0.560000,0.570000,0.013082,0.034901
7399,0.560000,0.560000,0.014074,0.045139
7599,0.559054,0.525000,0.011813,-0.070061
7799,0.558421,0.535000,0.010833,-0.025358
7999,0.557949,0.540000,0.010284,-0.010989
8199,0.556375,0.495000,0.006427,-0.146425
8399,0.555732,0.530000,0.005646,-0.025305
8599,0.556071,0.570000,0.004603,-0.054956
8799,0.556977,0.595000,0.007714,0.128845
8999,0.557841,0.595000,0.009851,0.100799
9199,0.558111,0.570000,0.009762,0.003707
9399,0.558370,0.570000,0.009038,-0.033654
9599,0.558511,0.565000,0.008488,-0.019930
9799,0.558229,0.545000,0.006559,-0.099034
9999,0.558571,0.575000,0.006989,0.027460
10199,0.558300,0.545000,0.005901,-0.049112
10399,0.559706,0.630000,0.007949,0.110577
10599,0.560192,0.585000,0.008326,0.025593
10799,0.560000,0.550000,0.007980,-0.009534
10999,0.558981,0.505000,0.005559,-0.123723
11199,0.558000,0.505000,0.004186,-0.069576
11399,0.558214,0.570000,0.004198,0.004053
11599,0.557018,0.490000,0.003814,-0.046368
11799,0.556724,0.540000,0.006496,0.075563
11999,0.556356,0.535000,0.009262,0.069442
12199,0.555167,0.485000,0.009895,-0.031857
12399,0.553197,0.435000,0.008072,-0.140032
12599,0.551290,0.435000,0.006509,-0.135678
12799,0.550635,0.510000,0.008082,0.019510
12999,0.549922,0.505000,0.010153,0.008016
13199,0.550077,0.560000,0.013298,0.119736
13399,0.549470,0.510000,0.013388,-0.001635
13599,0.549104,0.525000,0.015590,0.049620
13799,0.547574,0.445000,0.014567,-0.111334
13999,0.546232,0.455000,0.013865,-0.091310
14199,0.545357,0.485000,0.013490,-0.041245
14399,0.544225,0.465000,0.013751,-0.072144
14599,0.542500,0.420000,0.011525,-0.169355
14799,0.541986,0.505000,0.012533,0.010000
14999,0.541149,0.480000,0.012565,-0.040520
15199,0.540200,0.470000,0.012289,-0.060849
15399,0.539605,0.495000,0.012380,-0.014464
15599,0.538766,0.475000,0.011900,-0.055913
15799,0.539038,0.560000,0.013787,0.115756
15999,0.538608,0.505000,0.014157,0.005824
16199,0.538438,0.525000,0.015367,0.050000
16399,0.537284,0.445000,0.013972,-0.118050
16599,0.536402,0.465000,0.013188,-0.075809
16799,0.536205,0.520000,0.014101,0.039520
16999,0.535714,0.495000,0.013954,-0.018556
17199,0.535118,0.485000,0.014144,-0.029794
17399,0.534651,0.495000,0.014672,-0.010606
17599,0.533908,0.470000,0.014532,-0.060000
17799,0.533182,0.470000,0.013889,-0.065113
17999,0.532921,0.510000,0.014363,0.018429
18199,0.532444,0.490000,0.014609,-0.020000
18399,0.532088,0.500000,0.014402,-0.014507
18599,0.532065,0.530000,0.015034,0.052324
18799,0.531559,0.485000,0.014358,-0.052094
18999,0.531436,0.520000,0.014698,0.031868
19199,0.530947,0.485000,0.014755,-0.030000
19399,0.531250,0.560000,0.016322,0.119736
19599,0.530361,0.445000,0.015382,-0.110000
19799,0.529949,0.490000,0.015215,-0.023583
19999,0.530303,0.565000,0.015948,0.088050
