# TEST CONFIGURATION BEGIN
# FileStream(filename='covtype.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] PerceptronMask(alpha=0.0001, class_weight=None, early_stopping=False, eta0=1.0, fit_intercept=True, max_iter=None, n_iter=None, n_iter_no_change=5, n_jobs=None, penalty=None, random_state=0, shuffle=True, tol=None, validation_fraction=0.1, verbose=0, warm_start=False)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.PerceptronMask.covtype.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,0.000000,0.000000,0.000000,0.000000
399,0.690000,0.690000,0.500282,0.500282
599,0.677500,0.665000,0.497301,0.486570
799,0.710000,0.775000,0.583129,0.680216
999,0.671250,0.555000,0.566463,0.459377
1199,0.635000,0.490000,0.543015,0.382342
1399,0.630833,0.610000,0.540966,0.455326
1599,0.633571,0.650000,0.541908,0.505580
1799,0.633750,0.635000,0.547277,0.540042
1999,0.626667,0.570000,0.543215,0.442554
2199,0.634500,0.705000,0.559078,0.560849
2399,0.646364,0.765000,0.574596,0.607483
2599,0.657917,0.785000,0.587460,0.623418
2799,0.661923,0.710000,0.590729,0.511188
2999,0.667143,0.735000,0.594429,0.466398
3199,0.671000,0.725000,0.595545,0.412613
3399,0.672813,0.700000,0.595203,0.548584
3599,0.675882,0.725000,0.596487,0.588770
3799,0.674167,0.645000,0.592475,0.462894
3999,0.671579,0.625000,0.588595,0.486002
4199,0.669500,0.630000,0.585396,0.497078
4399,0.666667,0.610000,0.581458,0.471831
4599,0.665000,0.630000,0.579529,0.472897
4799,0.659348,0.535000,0.573270,0.388198
4999,0.657292,0.610000,0.572060,0.433345
5199,0.655800,0.620000,0.570426,0.402210
5399,0.653077,0.585000,0.567440,0.371783
5599,0.647037,0.490000,0.563310,0.353510
5799,0.644286,0.570000,0.562584,0.438000
5999,0.639310,0.500000,0.559112,0.384180
6199,0.634667,0.500000,0.555201,0.366928
6399,0.631935,0.550000,0.553969,0.424589
6599,0.625469,0.425000,0.547594,0.280688
6799,0.623636,0.565000,0.546844,0.431075
6999,0.621324,0.545000,0.545785,0.387123
7199,0.616714,0.460000,0.541612,0.329068
7399,0.613056,0.485000,0.538385,0.357775
7599,0.608649,0.450000,0.533958,0.299073
7799,0.606974,0.545000,0.532849,0.410774
7999,0.604103,0.495000,0.530854,0.262720
8199,0.603625,0.585000,0.531753,0.311460
8399,0.608415,0.800000,0.538419,0.510673
8599,0.611071,0.720000,0.542287,0.436591
8799,0.610814,0.600000,0.542606,0.321401
8999,0.612500,0.685000,0.544978,0.491566
9199,0.611444,0.565000,0.543938,0.347826
9399,0.611630,0.620000,0.544344,0.374511
9599,0.613404,0.695000,0.546488,0.499877
9799,0.611042,0.500000,0.544148,0.337046
9999,0.610510,0.585000,0.543712,0.202498
10199,0.611400,0.655000,0.544700,0.322234
10399,0.613725,0.730000,0.547489,0.609615
10599,0.613077,0.580000,0.547453,0.093362
10799,0.613208,0.620000,0.547992,0.419182
10999,0.611574,0.525000,0.546196,0.393398
11199,0.608636,0.450000,0.542728,0.299854
11399,0.605446,0.430000,0.538957,0.277704
11599,0.606491,0.665000,0.540029,0.369679
11799,0.605948,0.575000,0.539158,0.272727
11999,0.604407,0.515000,0.537149,0.321109
12199,0.602583,0.495000,0.534815,0.321282
12399,0.600820,0.495000,0.532597,0.295013
12599,0.597258,0.380000,0.528510,0.229574
12799,0.593175,0.340000,0.523845,0.193524
12999,0.590000,0.390000,0.520180,0.192374
13199,0.586231,0.345000,0.515857,0.177859
13399,0.584167,0.450000,0.513591,0.268082
13599,0.585746,0.690000,0.515492,0.384860
13799,0.584265,0.485000,0.513811,0.212056
13999,0.583841,0.555000,0.513394,0.431927
14199,0.586143,0.745000,0.516192,0.646533
14399,0.591268,0.950000,0.522604,0.822821
14599,0.596389,0.960000,0.528866,0.755800
14799,0.601164,0.945000,0.534569,0.821065
14999,0.606014,0.960000,0.540231,0.834745
15199,0.610600,0.950000,0.545472,0.800319
15399,0.615132,0.955000,0.550543,0.810905
15599,0.619545,0.955000,0.555421,0.863107
15799,0.623846,0.955000,0.560141,0.891021
15999,0.627975,0.950000,0.564642,0.891991
16199,0.632250,0.970000,0.569191,0.909890
16399,0.636543,0.980000,0.573725,0.943198
16599,0.640732,0.980000,0.578096,0.942963
16799,0.644699,0.970000,0.582194,0.920687
16999,0.648571,0.970000,0.586147,0.918892
17199,0.652471,0.980000,0.590167,0.953626
17399,0.656279,0.980000,0.594058,0.952900
17599,0.660057,0.985000,0.597840,0.958842
17799,0.663693,0.980000,0.601448,0.946978
17999,0.667303,0.985000,0.604967,0.954233
18199,0.670889,0.990000,0.608373,0.960552
18399,0.674231,0.975000,0.611428,0.875792
18599,0.677554,0.980000,0.614634,0.947181
18799,0.680753,0.975000,0.617715,0.936948
18999,0.683989,0.985000,0.620750,0.954393
19199,0.687053,0.975000,0.623568,0.922601
19399,0.690000,0.970000,0.626312,0.920000
19599,0.692887,0.970000,0.628976,0.918908
19799,0.695612,0.960000,0.631398,0.879445
19999,0.698636,0.995000,0.633957,0.953875
