# TEST CONFIGURATION BEGIN
# FileStream(filename='elec.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] PerceptronMask(alpha=0.0001, class_weight=None, early_stopping=False, eta0=1.0, fit_intercept=True, max_iter=None, n_iter=None, n_iter_no_change=5, n_jobs=None, penalty=None, random_state=0, shuffle=True, tol=None, validation_fraction=0.1, verbose=0, warm_start=False)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.PerceptronMask.elec.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,0.000000,0.000000,0.000000,0.000000
399,0.820000,0.820000,0.526253,0.526253
599,0.830000,0.840000,0.543609,0.561404
799,0.818333,0.795000,0.588648,0.589918
999,0.816250,0.810000,0.583257,0.567001
1199,0.817000,0.820000,0.584552,0.589790
1399,0.814167,0.800000,0.601940,0.586649
1599,0.810714,0.790000,0.596953,0.565981
1799,0.806875,0.780000,0.594455,0.559868
1999,0.811667,0.850000,0.597864,0.588816
2199,0.806500,0.760000,0.588820,0.507440
2399,0.811364,0.860000,0.606330,0.710654
2599,0.814583,0.850000,0.611121,0.660825
2799,0.813462,0.800000,0.602940,0.362956
2999,0.813214,0.810000,0.603811,0.611253
3199,0.811333,0.785000,0.597938,0.499651
3399,0.812813,0.835000,0.598970,0.605263
3599,0.813824,0.830000,0.604472,0.659966
3799,0.814444,0.825000,0.605983,0.631346
3999,0.814737,0.820000,0.604214,0.543437
4199,0.815500,0.830000,0.607539,0.657258
4399,0.816429,0.835000,0.610840,0.666330
4599,0.820000,0.895000,0.618261,0.775401
4799,0.820217,0.825000,0.619663,0.644453
4999,0.818333,0.775000,0.615588,0.521277
5199,0.812400,0.670000,0.605935,0.324808
5399,0.813077,0.830000,0.607279,0.641009
5599,0.813333,0.820000,0.606307,0.553571
5799,0.814286,0.840000,0.608897,0.673603
5999,0.814310,0.815000,0.609513,0.623141
6199,0.814167,0.810000,0.609819,0.614448
6399,0.813871,0.805000,0.611864,0.580555
6599,0.814375,0.830000,0.613432,0.656566
6799,0.814697,0.825000,0.615856,0.638952
6999,0.815000,0.825000,0.617443,0.649579
7199,0.813429,0.760000,0.615088,0.519231
7399,0.814722,0.860000,0.618784,0.717172
7599,0.815135,0.830000,0.620182,0.659966
7799,0.816711,0.875000,0.624350,0.746038
7999,0.816923,0.825000,0.625270,0.650000
8199,0.818625,0.885000,0.629112,0.769862
8399,0.820732,0.905000,0.633644,0.809199
8599,0.821071,0.835000,0.635075,0.662921
8799,0.821628,0.845000,0.636172,0.682377
8999,0.822159,0.845000,0.637682,0.689379
9199,0.823444,0.880000,0.641264,0.732620
9399,0.823913,0.845000,0.642509,0.689814
9599,0.822553,0.760000,0.639884,0.518845
9799,0.823333,0.860000,0.641302,0.707082
9999,0.822653,0.790000,0.639648,0.546974
10199,0.823800,0.880000,0.641970,0.755874
10399,0.823824,0.825000,0.641618,0.602724
10599,0.824327,0.850000,0.642857,0.699970
10799,0.824906,0.855000,0.644497,0.703779
10999,0.825741,0.870000,0.646115,0.732262
11199,0.824545,0.760000,0.643741,0.516080
11399,0.824018,0.795000,0.642697,0.585440
11599,0.826316,0.955000,0.647466,0.909729
11799,0.826724,0.850000,0.648473,0.700030
11999,0.827119,0.850000,0.649734,0.686160
12199,0.827417,0.845000,0.650402,0.688693
12399,0.828525,0.895000,0.652937,0.787191
12599,0.829677,0.900000,0.655207,0.794767
12799,0.830317,0.870000,0.656811,0.734015
12999,0.831250,0.890000,0.658794,0.779912
13199,0.831000,0.815000,0.658265,0.624137
13399,0.831212,0.845000,0.658472,0.658214
13599,0.831418,0.845000,0.659099,0.687752
13799,0.831618,0.845000,0.659628,0.689938
13999,0.831594,0.830000,0.659269,0.595238
14199,0.832357,0.885000,0.661002,0.768705
14399,0.833169,0.890000,0.662351,0.740535
14599,0.832708,0.800000,0.661303,0.579655
14799,0.832055,0.785000,0.659964,0.563186
14999,0.831892,0.820000,0.659614,0.633811
15199,0.832600,0.885000,0.660839,0.744671
15399,0.832039,0.790000,0.659665,0.570332
15599,0.832468,0.865000,0.660622,0.729838
15799,0.832500,0.835000,0.660321,0.573864
15999,0.832532,0.835000,0.660054,0.592995
16199,0.832875,0.860000,0.660487,0.675588
16399,0.833642,0.895000,0.661745,0.748804
16599,0.833841,0.850000,0.662371,0.698068
16799,0.834337,0.875000,0.663533,0.749850
16999,0.834643,0.860000,0.664087,0.709513
17199,0.835118,0.875000,0.664991,0.741147
17399,0.834942,0.820000,0.664418,0.592944
17599,0.835287,0.865000,0.664778,0.655524
17799,0.836307,0.925000,0.666697,0.836744
17999,0.837303,0.925000,0.668684,0.845265
18199,0.838333,0.930000,0.671185,0.848090
18399,0.838187,0.825000,0.670825,0.636175
18599,0.838587,0.875000,0.671774,0.749950
18799,0.838333,0.815000,0.671317,0.628439
18999,0.838936,0.895000,0.672697,0.789579
19199,0.839000,0.845000,0.673165,0.666595
19399,0.838437,0.785000,0.671901,0.537535
19599,0.838402,0.835000,0.671802,0.661885
19799,0.838418,0.840000,0.671652,0.638173
19999,0.837828,0.780000,0.670508,0.558410
