# TEST CONFIGURATION BEGIN
# FileStream(filename='hyperplane_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] PerceptronMask(alpha=0.0001, class_weight=None, early_stopping=False, eta0=1.0, fit_intercept=True, max_iter=None, n_iter=None, n_iter_no_change=5, n_jobs=None, penalty=None, random_state=0, shuffle=True, tol=None, validation_fraction=0.1, verbose=0, warm_start=False)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.PerceptronMask.hyperplane_gen.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,1.000000,1.000000,1.000000,1.000000
399,0.605000,0.605000,0.208417,0.208417
599,0.600000,0.595000,0.200000,0.187563
799,0.590000,0.570000,0.180009,0.139914
999,0.583750,0.565000,0.167510,0.130000
1199,0.575000,0.540000,0.149966,0.078526
1399,0.575000,0.575000,0.149993,0.147442
1599,0.565000,0.505000,0.129925,0.008016
1799,0.561875,0.540000,0.123734,0.070707
1999,0.567222,0.610000,0.134278,0.213630
2199,0.568500,0.580000,0.136886,0.159916
2399,0.570455,0.590000,0.140879,0.177945
2599,0.572917,0.600000,0.145832,0.194847
2799,0.572308,0.565000,0.144611,0.129826
2999,0.575714,0.620000,0.151413,0.233794
3199,0.579333,0.630000,0.158655,0.249264
3399,0.582187,0.625000,0.164346,0.249099
3599,0.578235,0.515000,0.156464,0.028056
3799,0.581944,0.645000,0.163856,0.287005
3999,0.581579,0.575000,0.163085,0.146415
4199,0.583250,0.615000,0.166422,0.229846
4399,0.582381,0.565000,0.164702,0.129826
4599,0.582500,0.585000,0.164831,0.154614
4799,0.582391,0.580000,0.164562,0.156965
4999,0.584167,0.625000,0.167898,0.226326
5199,0.587000,0.655000,0.173564,0.309586
5399,0.586346,0.570000,0.172417,0.131313
5599,0.586111,0.580000,0.171909,0.157979
5799,0.587679,0.630000,0.175079,0.260000
5999,0.587586,0.585000,0.174947,0.169003
6199,0.588667,0.620000,0.177105,0.239772
6399,0.586129,0.510000,0.172043,0.020098
6599,0.586094,0.585000,0.171997,0.169834
6799,0.585606,0.570000,0.171061,0.138622
6999,0.585588,0.585000,0.171084,0.163981
7199,0.584857,0.560000,0.169632,0.120000
7399,0.586111,0.630000,0.172130,0.259408
7599,0.585946,0.580000,0.171800,0.159916
7799,0.585395,0.565000,0.170717,0.128955
7999,0.585128,0.575000,0.170178,0.149490
8199,0.584000,0.540000,0.167908,0.078526
8399,0.583537,0.565000,0.166975,0.129478
8599,0.582500,0.540000,0.164930,0.076676
8799,0.581279,0.530000,0.162498,0.059718
8999,0.581705,0.600000,0.163366,0.197995
9199,0.580667,0.535000,0.161303,0.068323
9399,0.580543,0.575000,0.161053,0.149490
9599,0.581277,0.615000,0.162519,0.230000
9799,0.580729,0.555000,0.161412,0.107322
9999,0.579898,0.540000,0.159749,0.079908
10199,0.580800,0.625000,0.161557,0.250000
10399,0.580882,0.585000,0.161729,0.169502
10599,0.581058,0.590000,0.162081,0.180000
10799,0.581698,0.615000,0.163368,0.229538
10999,0.581019,0.545000,0.162012,0.089818
11199,0.580455,0.550000,0.160888,0.099730
11399,0.580446,0.580000,0.160881,0.156965
11599,0.578509,0.470000,0.157008,-0.060424
11799,0.578276,0.565000,0.156537,0.128257
11999,0.577627,0.540000,0.155250,0.068826
12199,0.576833,0.530000,0.153667,0.046266
12399,0.576557,0.560000,0.153114,0.116909
12599,0.575968,0.540000,0.151936,0.077694
12799,0.575159,0.525000,0.150317,0.047141
12999,0.575078,0.570000,0.150156,0.129467
13199,0.574692,0.550000,0.149384,0.099640
13399,0.575379,0.620000,0.150750,0.228974
13599,0.575448,0.580000,0.150887,0.159748
13799,0.574779,0.530000,0.149554,0.056604
13999,0.575290,0.610000,0.150572,0.217182
14199,0.575571,0.595000,0.151137,0.189514
14399,0.574648,0.510000,0.149293,0.016459
14599,0.574097,0.535000,0.148192,0.070000
14799,0.573630,0.540000,0.147260,0.076769
14999,0.573514,0.565000,0.147027,0.126331
15199,0.573867,0.600000,0.147732,0.190283
15399,0.574079,0.590000,0.148152,0.173304
15599,0.574221,0.585000,0.148436,0.170166
15799,0.573974,0.555000,0.147945,0.108931
15999,0.574177,0.590000,0.148351,0.180000
16199,0.573438,0.515000,0.146866,0.017025
16399,0.573642,0.590000,0.147276,0.180000
16599,0.573476,0.560000,0.146942,0.119736
16799,0.572952,0.530000,0.145891,0.058494
16999,0.573214,0.595000,0.146412,0.187563
17199,0.573000,0.555000,0.145992,0.100101
17399,0.572558,0.535000,0.145111,0.068136
17599,0.573851,0.685000,0.147701,0.350113
17799,0.574489,0.630000,0.148977,0.258145
17999,0.574326,0.560000,0.148652,0.117883
18199,0.574111,0.555000,0.148222,0.110000
18399,0.575000,0.655000,0.150000,0.310000
18599,0.574891,0.565000,0.149782,0.129478
18799,0.574462,0.535000,0.148923,0.067202
18999,0.574149,0.545000,0.148295,0.087445
19199,0.573684,0.530000,0.147366,0.059247
19399,0.573698,0.575000,0.147393,0.148979
19599,0.574227,0.625000,0.148450,0.249550
19799,0.574235,0.575000,0.148468,0.145213
19999,0.573939,0.545000,0.147878,0.089454
