# TEST CONFIGURATION BEGIN
# FileStream(filename='led_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] PerceptronMask(alpha=0.0001, class_weight=None, early_stopping=False, eta0=1.0, fit_intercept=True, max_iter=None, n_iter=None, n_iter_no_change=5, n_jobs=None, penalty=None, random_state=0, shuffle=True, tol=None, validation_fraction=0.1, verbose=0, warm_start=False)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.PerceptronMask.led_gen.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,0.000000,0.000000,0.000000,0.000000
399,0.145000,0.145000,0.049181,0.049181
599,0.185000,0.225000,0.091833,0.127277
799,0.185000,0.185000,0.092321,0.091618
999,0.202500,0.255000,0.112477,0.166294
1199,0.205000,0.215000,0.116224,0.125104
1399,0.210833,0.240000,0.122371,0.148555
1599,0.217857,0.260000,0.130539,0.176084
1799,0.223750,0.265000,0.137031,0.180099
1999,0.230556,0.285000,0.144497,0.201653
2199,0.228500,0.210000,0.142174,0.119041
2399,0.233636,0.285000,0.147885,0.201808
2599,0.233333,0.230000,0.147537,0.139256
2799,0.235769,0.265000,0.150309,0.179665
2999,0.234643,0.220000,0.149048,0.126906
3199,0.234000,0.225000,0.148407,0.137739
3399,0.235937,0.265000,0.150549,0.177898
3599,0.233824,0.200000,0.148250,0.108287
3799,0.230556,0.175000,0.144702,0.076897
3999,0.232105,0.260000,0.146372,0.175901
4199,0.232750,0.245000,0.147102,0.153587
4399,0.231905,0.215000,0.146162,0.123811
4599,0.232727,0.250000,0.147063,0.164671
4799,0.231087,0.195000,0.145171,0.101487
4999,0.232292,0.260000,0.146578,0.173784
5199,0.230800,0.195000,0.144986,0.101412
5399,0.230962,0.235000,0.145214,0.144750
5599,0.230926,0.230000,0.145158,0.141774
5799,0.230536,0.220000,0.144719,0.132273
5999,0.230345,0.225000,0.144530,0.136610
6199,0.231833,0.275000,0.146223,0.192313
6399,0.232419,0.250000,0.146893,0.160040
6599,0.232656,0.240000,0.147173,0.152259
6799,0.233333,0.255000,0.147899,0.167598
6999,0.233676,0.245000,0.148294,0.151304
7199,0.233571,0.230000,0.148196,0.140433
7399,0.232083,0.180000,0.146574,0.086707
7599,0.231351,0.205000,0.145771,0.111434
7799,0.230921,0.215000,0.145334,0.122464
7999,0.229872,0.190000,0.144200,0.093782
8199,0.229500,0.215000,0.143789,0.125762
8399,0.229146,0.215000,0.143409,0.124226
8599,0.228333,0.195000,0.142511,0.104934
8799,0.229186,0.265000,0.143435,0.181036
8999,0.228182,0.185000,0.142328,0.087372
9199,0.228222,0.230000,0.142364,0.142396
9399,0.229239,0.275000,0.143474,0.187470
9599,0.229255,0.230000,0.143512,0.141128
9799,0.229792,0.255000,0.144119,0.168155
9999,0.229490,0.215000,0.143784,0.122096
10199,0.228200,0.165000,0.142351,0.068990
10399,0.229118,0.275000,0.143376,0.187311
10599,0.228942,0.220000,0.143182,0.132924
10799,0.229811,0.275000,0.144141,0.189627
10999,0.229537,0.215000,0.143832,0.124690
11199,0.230000,0.255000,0.144344,0.168782
11399,0.230268,0.245000,0.144645,0.158141
11599,0.230614,0.250000,0.145034,0.161215
11799,0.231466,0.280000,0.145987,0.196698
11999,0.231525,0.235000,0.146067,0.146705
12199,0.231500,0.230000,0.146051,0.139304
12399,0.232295,0.280000,0.146936,0.196496
12599,0.232500,0.245000,0.147165,0.159453
12799,0.232619,0.240000,0.147293,0.149864
12999,0.232969,0.255000,0.147672,0.164728
13199,0.233231,0.250000,0.147957,0.165066
13399,0.232045,0.155000,0.146641,0.058207
13599,0.232836,0.285000,0.147517,0.200805
13799,0.233088,0.250000,0.147802,0.165252
13999,0.233188,0.240000,0.147930,0.152755
14199,0.233929,0.285000,0.148748,0.202721
14399,0.233521,0.205000,0.148303,0.113416
14599,0.234236,0.285000,0.149093,0.202076
14799,0.235000,0.290000,0.149931,0.208097
14999,0.235405,0.265000,0.150388,0.179619
15199,0.235000,0.205000,0.149932,0.110539
15399,0.234145,0.170000,0.148989,0.077316
15599,0.234286,0.245000,0.149122,0.145106
15799,0.233974,0.210000,0.148774,0.116874
15999,0.233924,0.230000,0.148715,0.142396
16199,0.233125,0.170000,0.147828,0.074487
16399,0.233642,0.275000,0.148398,0.191277
16599,0.234024,0.265000,0.148803,0.175501
16799,0.234277,0.255000,0.149082,0.170217
16999,0.233690,0.185000,0.148431,0.087142
17199,0.234118,0.270000,0.148898,0.186290
17399,0.234186,0.240000,0.148991,0.151951
17599,0.233678,0.190000,0.148423,0.097216
17799,0.233068,0.180000,0.147763,0.079324
17999,0.233090,0.235000,0.147797,0.150496
18199,0.233611,0.280000,0.148378,0.195935
18399,0.233407,0.215000,0.148145,0.125713
18599,0.233424,0.235000,0.148152,0.145609
18799,0.233226,0.215000,0.147937,0.122954
18999,0.232766,0.190000,0.147429,0.095503
19199,0.232211,0.180000,0.146818,0.087139
19399,0.232448,0.255000,0.147082,0.169708
19599,0.232165,0.205000,0.146773,0.112995
19799,0.231837,0.200000,0.146406,0.109057
19999,0.231818,0.230000,0.146385,0.139497
