# TEST CONFIGURATION BEGIN
# FileStream(filename='pokerhand.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] PerceptronMask(alpha=0.0001, class_weight=None, early_stopping=False, eta0=1.0, fit_intercept=True, max_iter=None, n_iter=None, n_iter_no_change=5, n_jobs=None, penalty=None, random_state=0, shuffle=True, tol=None, validation_fraction=0.1, verbose=0, warm_start=False)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.PerceptronMask.pokerhand.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,0.000000,0.000000,0.000000,0.000000
399,0.725000,0.725000,0.480887,0.480887
599,0.765000,0.805000,0.554719,0.317406
799,0.808333,0.895000,0.626012,0.781250
999,0.822500,0.865000,0.679238,0.615768
1199,0.824000,0.830000,0.679624,0.436340
1399,0.825000,0.830000,0.673304,0.499558
1599,0.817143,0.770000,0.648630,0.329837
1799,0.810000,0.760000,0.629636,0.467288
1999,0.806667,0.780000,0.636245,0.241641
2199,0.818000,0.920000,0.664092,0.796903
2399,0.823636,0.880000,0.670837,0.462185
2599,0.825833,0.850000,0.668970,0.252895
2799,0.826154,0.830000,0.663870,0.436246
2999,0.825714,0.820000,0.656363,0.274047
3199,0.823667,0.795000,0.647853,0.450107
3399,0.823750,0.825000,0.659291,0.152132
3599,0.827647,0.890000,0.669954,0.744735
3799,0.832222,0.910000,0.674131,0.296050
3999,0.835789,0.900000,0.675391,0.042146
4199,0.833500,0.790000,0.666182,0.082769
4399,0.835714,0.880000,0.665790,0.479675
4599,0.829773,0.705000,0.654474,0.424278
4799,0.824565,0.710000,0.642679,0.321439
4999,0.822083,0.765000,0.636381,0.457369
5199,0.820400,0.780000,0.631431,0.469752
5399,0.814808,0.675000,0.622199,0.386039
5599,0.816296,0.855000,0.637193,0.561934
5799,0.816964,0.835000,0.637555,0.647153
5999,0.818103,0.850000,0.636284,0.438518
6199,0.818667,0.835000,0.634647,0.510059
6399,0.816935,0.765000,0.629214,0.407837
6599,0.814844,0.750000,0.629971,0.447086
6799,0.816818,0.880000,0.639530,0.722607
6999,0.818676,0.880000,0.640008,0.486631
7199,0.819857,0.860000,0.639392,0.465649
7399,0.819444,0.805000,0.636238,0.417910
7599,0.817838,0.760000,0.636272,0.514735
7799,0.820789,0.930000,0.645480,0.777742
7999,0.822821,0.900000,0.646267,0.232246
8199,0.823375,0.845000,0.644478,0.224224
8399,0.822805,0.800000,0.640666,0.169608
8599,0.818810,0.655000,0.632893,0.325117
8799,0.816860,0.735000,0.628109,0.381636
8999,0.815227,0.745000,0.625002,0.494148
9199,0.813667,0.745000,0.626652,0.377745
9399,0.814239,0.840000,0.630193,0.715100
9599,0.813617,0.785000,0.627332,0.394963
9799,0.811979,0.735000,0.622480,0.268562
9999,0.809592,0.695000,0.620211,0.427741
10199,0.811000,0.880000,0.625839,0.740006
10399,0.811863,0.855000,0.625534,0.454272
10599,0.811058,0.770000,0.622433,0.350649
10799,0.811698,0.845000,0.626398,0.586694
10999,0.812870,0.875000,0.627645,0.686913
11199,0.812364,0.785000,0.624675,0.109731
11399,0.810357,0.700000,0.620484,0.370838
11599,0.809912,0.785000,0.618730,0.452473
11799,0.808017,0.700000,0.615425,0.436831
11999,0.807881,0.800000,0.619394,0.467377
12199,0.808333,0.835000,0.620301,0.670889
12399,0.806803,0.715000,0.616446,0.324164
12599,0.805887,0.750000,0.618430,0.442680
12799,0.806429,0.840000,0.618704,0.624787
12999,0.804531,0.685000,0.614504,0.320828
13199,0.805385,0.860000,0.618234,0.671978
13399,0.806364,0.870000,0.618229,0.165329
13599,0.803657,0.625000,0.613120,0.287106
13799,0.802132,0.700000,0.609773,0.363598
13999,0.802101,0.800000,0.612404,0.608515
14199,0.800929,0.720000,0.609319,0.326194
14399,0.800493,0.770000,0.610810,0.514102
14599,0.800278,0.785000,0.609301,0.394963
14799,0.800068,0.785000,0.610423,0.571201
14999,0.799392,0.750000,0.608705,0.445277
15199,0.797533,0.660000,0.606660,0.416735
15399,0.796053,0.685000,0.604346,0.442033
15599,0.795260,0.735000,0.604069,0.532772
15799,0.794487,0.735000,0.603040,0.513561
15999,0.791519,0.560000,0.598488,0.242131
16199,0.790750,0.730000,0.598872,0.505811
16399,0.789938,0.725000,0.597731,0.508402
16599,0.787927,0.625000,0.595880,0.411187
16799,0.786506,0.670000,0.596647,0.448990
16999,0.786786,0.810000,0.600269,0.531789
17199,0.787176,0.820000,0.603701,0.500000
17399,0.788314,0.885000,0.608037,0.621461
17599,0.788793,0.830000,0.611370,0.550888
17799,0.789261,0.830000,0.614334,0.507959
17999,0.789101,0.775000,0.616356,0.449945
18199,0.789000,0.780000,0.618236,0.441589
18399,0.789231,0.810000,0.621061,0.584177
18599,0.790326,0.890000,0.624314,0.619114
18799,0.790753,0.830000,0.626088,0.314378
18999,0.791915,0.900000,0.628828,0.444444
19199,0.792526,0.850000,0.630958,0.502653
19399,0.792969,0.835000,0.632753,0.476315
19599,0.792835,0.780000,0.633670,0.394565
19799,0.792398,0.750000,0.636279,0.621413
19999,0.793737,0.925000,0.643742,0.634236
