# TEST CONFIGURATION BEGIN
# FileStream(filename='rbf_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] PerceptronMask(alpha=0.0001, class_weight=None, early_stopping=False, eta0=1.0, fit_intercept=True, max_iter=None, n_iter=None, n_iter_no_change=5, n_jobs=None, penalty=None, random_state=0, shuffle=True, tol=None, validation_fraction=0.1, verbose=0, warm_start=False)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.PerceptronMask.rbf_gen.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,1.000000,1.000000,1.000000,1.000000
399,0.495000,0.495000,-0.010202,-0.010202
599,0.517500,0.540000,0.035000,0.079908
799,0.503333,0.475000,0.006667,-0.050000
999,0.505000,0.510000,0.009851,0.018823
1199,0.495000,0.455000,-0.010121,-0.090000
1399,0.490833,0.470000,-0.018339,-0.061592
1599,0.492857,0.505000,-0.014284,0.009802
1799,0.497500,0.530000,-0.005127,0.052419
1999,0.498333,0.505000,-0.003804,-0.001011
2199,0.498000,0.495000,-0.004442,-0.010000
2399,0.500000,0.520000,-0.000212,0.037690
2599,0.501667,0.520000,0.003083,0.039135
2799,0.504231,0.535000,0.008261,0.070000
2999,0.502500,0.480000,0.004643,-0.046699
3199,0.500667,0.475000,0.001099,-0.051262
3399,0.499688,0.485000,-0.000942,-0.032892
3599,0.500000,0.505000,-0.000042,-0.021250
3799,0.500556,0.510000,0.001074,0.020000
3999,0.502105,0.530000,0.004188,0.059624
4199,0.499000,0.440000,-0.002000,-0.127214
4399,0.499286,0.505000,-0.001431,0.008215
4599,0.496591,0.440000,-0.006833,-0.122357
4799,0.497609,0.520000,-0.004796,0.040000
4999,0.498958,0.530000,-0.002137,0.052706
5199,0.497800,0.470000,-0.004429,-0.061592
5399,0.499231,0.535000,-0.001542,0.063255
5599,0.497963,0.465000,-0.004074,-0.073220
5799,0.497857,0.495000,-0.004286,-0.010202
5999,0.498793,0.525000,-0.002474,0.008351
6199,0.500167,0.540000,0.000185,0.061608
6399,0.500968,0.525000,0.001633,0.020215
6599,0.499688,0.460000,-0.001001,-0.086847
6799,0.498030,0.445000,-0.004114,-0.149306
6999,0.499412,0.545000,-0.001376,0.088176
7199,0.500571,0.540000,0.000978,0.079171
7399,0.501667,0.540000,0.003133,0.076676
7599,0.502162,0.520000,0.004196,0.032161
7799,0.501711,0.485000,0.003319,-0.031237
7999,0.502692,0.540000,0.005267,0.078618
8199,0.504125,0.560000,0.008045,0.099836
8399,0.504268,0.510000,0.008260,0.008097
8599,0.504405,0.510000,0.008522,0.019117
8799,0.505233,0.540000,0.010083,0.064280
8999,0.505341,0.510000,0.010281,0.018429
9199,0.506000,0.535000,0.011578,0.068136
9399,0.505543,0.485000,0.010605,-0.037470
9599,0.505426,0.500000,0.010333,-0.003613
9799,0.505313,0.500000,0.010062,-0.004823
9999,0.504286,0.455000,0.008025,-0.090000
10199,0.504100,0.495000,0.007724,-0.013039
10399,0.503039,0.450000,0.005661,-0.102757
10599,0.503269,0.515000,0.006086,0.026104
10799,0.503585,0.520000,0.006643,0.028340
10999,0.504722,0.565000,0.008991,0.126331
11199,0.504818,0.510000,0.009121,0.010201
11399,0.504643,0.495000,0.008823,-0.012024
11599,0.504211,0.480000,0.007805,-0.087866
11799,0.504224,0.505000,0.007824,0.008811
11999,0.504492,0.520000,0.008294,0.030303
12199,0.503917,0.470000,0.007060,-0.075378
12399,0.503934,0.505000,0.007070,0.007021
12599,0.503145,0.455000,0.005475,-0.092184
12799,0.503016,0.495000,0.005183,-0.014056
12999,0.502969,0.500000,0.005079,-0.001502
13199,0.503000,0.505000,0.005136,0.009406
13399,0.503561,0.540000,0.006285,0.080092
13599,0.503955,0.530000,0.007141,0.057739
13799,0.504191,0.520000,0.007511,0.018003
13999,0.503696,0.470000,0.006475,-0.066828
14199,0.504071,0.530000,0.007279,0.059153
14399,0.504718,0.550000,0.008630,0.098648
14599,0.504931,0.520000,0.009014,0.033816
14799,0.505068,0.515000,0.009309,0.030194
14999,0.504392,0.455000,0.007958,-0.090654
15199,0.504333,0.500000,0.007855,0.000000
15399,0.505263,0.575000,0.009658,0.140546
15599,0.505584,0.530000,0.010231,0.046266
15799,0.505897,0.530000,0.010803,0.050601
15999,0.506013,0.515000,0.010966,0.017025
16199,0.505938,0.500000,0.010785,-0.004924
16399,0.505309,0.455000,0.009476,-0.099677
16599,0.505793,0.545000,0.010452,0.089454
16799,0.505904,0.515000,0.010649,0.026104
16999,0.506369,0.545000,0.011540,0.083400
17199,0.506765,0.540000,0.012368,0.079908
17399,0.506860,0.515000,0.012471,0.009193
17599,0.506954,0.515000,0.012634,0.025909
17799,0.506591,0.475000,0.011908,-0.051051
17999,0.506854,0.530000,0.012439,0.059153
18199,0.507000,0.520000,0.012689,0.032258
18399,0.507253,0.530000,0.013176,0.056698
18599,0.507935,0.570000,0.014632,0.134461
18799,0.508118,0.525000,0.014985,0.047141
18999,0.508298,0.525000,0.015375,0.050000
19199,0.507737,0.455000,0.014324,-0.094597
19399,0.507708,0.505000,0.014301,0.009802
19599,0.508093,0.545000,0.015104,0.090000
19799,0.507908,0.490000,0.014776,-0.020919
19999,0.508081,0.525000,0.015120,0.048859
