# TEST CONFIGURATION BEGIN
# FileStream(filename='sea_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] PerceptronMask(alpha=0.0001, class_weight=None, early_stopping=False, eta0=1.0, fit_intercept=True, max_iter=None, n_iter=None, n_iter_no_change=5, n_jobs=None, penalty=None, random_state=0, shuffle=True, tol=None, validation_fraction=0.1, verbose=0, warm_start=False)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.PerceptronMask.sea_gen.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,1.000000,1.000000,1.000000,1.000000
399,0.580000,0.580000,0.123173,0.123173
599,0.565000,0.550000,0.109974,0.092742
799,0.613333,0.710000,0.199972,0.385137
999,0.628750,0.675000,0.230071,0.321928
1199,0.644000,0.705000,0.260260,0.382199
1399,0.645000,0.650000,0.266023,0.290421
1599,0.638571,0.600000,0.258847,0.200000
1799,0.640625,0.655000,0.262466,0.288366
1999,0.640556,0.640000,0.264596,0.276455
2199,0.642500,0.660000,0.267891,0.297521
2399,0.645909,0.680000,0.271220,0.287702
2599,0.653750,0.740000,0.288123,0.471115
2799,0.651538,0.625000,0.285752,0.248497
2999,0.652500,0.665000,0.288200,0.319382
3199,0.655667,0.700000,0.295253,0.392897
3399,0.656563,0.670000,0.297911,0.334677
3599,0.661765,0.745000,0.307827,0.467752
3799,0.659444,0.620000,0.304648,0.240380
3999,0.662895,0.725000,0.311120,0.428274
4199,0.662500,0.655000,0.310814,0.303734
4399,0.664048,0.695000,0.313674,0.370875
4599,0.667045,0.730000,0.319751,0.447627
4799,0.668043,0.690000,0.323210,0.379814
4999,0.670000,0.715000,0.327690,0.426790
5199,0.670000,0.670000,0.326951,0.303209
5399,0.669038,0.645000,0.325027,0.276986
5599,0.671667,0.740000,0.329360,0.435764
5799,0.674286,0.745000,0.334059,0.460203
5999,0.673103,0.640000,0.331549,0.261084
6199,0.674000,0.700000,0.333973,0.397893
6399,0.677097,0.770000,0.339621,0.509333
6599,0.678125,0.710000,0.342703,0.420000
6799,0.677576,0.660000,0.342064,0.317543
6999,0.679412,0.740000,0.346144,0.476651
7199,0.681714,0.760000,0.350784,0.509002
7399,0.681806,0.685000,0.350734,0.347691
7599,0.682432,0.705000,0.352238,0.404642
7799,0.682237,0.675000,0.351709,0.331826
7999,0.682821,0.705000,0.352488,0.378555
8199,0.684875,0.765000,0.356481,0.513357
8399,0.685244,0.700000,0.357425,0.394184
8599,0.686310,0.730000,0.359442,0.442437
8799,0.687326,0.730000,0.361182,0.432594
8999,0.689318,0.775000,0.365121,0.535795
9199,0.689556,0.700000,0.365122,0.356568
9399,0.689022,0.665000,0.363660,0.290855
9599,0.690319,0.750000,0.366563,0.495917
9799,0.689375,0.645000,0.364564,0.270148
9999,0.688673,0.655000,0.362909,0.279900
10199,0.688900,0.700000,0.363723,0.397893
10399,0.689902,0.740000,0.365690,0.464525
10599,0.690000,0.695000,0.365676,0.363390
10799,0.691038,0.745000,0.367561,0.465297
10999,0.691111,0.695000,0.367330,0.347594
11199,0.691909,0.735000,0.368997,0.458742
11399,0.692500,0.725000,0.370199,0.436475
11599,0.692719,0.705000,0.370010,0.335436
11799,0.693276,0.725000,0.370767,0.408602
11999,0.694322,0.755000,0.372329,0.452147
12199,0.695000,0.735000,0.373079,0.398411
12399,0.696475,0.785000,0.375088,0.457755
12599,0.696935,0.725000,0.375088,0.321658
12799,0.698730,0.810000,0.378048,0.556075
12999,0.699922,0.775000,0.379763,0.471707
13199,0.700231,0.720000,0.379609,0.333651
13399,0.700379,0.710000,0.379386,0.349411
13599,0.700299,0.695000,0.378609,0.302219
13799,0.700441,0.710000,0.378250,0.328082
13999,0.700797,0.725000,0.378542,0.389432
14199,0.701143,0.725000,0.378499,0.342105
14399,0.701901,0.755000,0.379254,0.402001
14599,0.702361,0.735000,0.379577,0.383434
14799,0.703014,0.750000,0.380439,0.434709
14999,0.702905,0.695000,0.379706,0.307605
15199,0.703200,0.725000,0.379931,0.389432
15399,0.704145,0.775000,0.381345,0.480849
15599,0.704156,0.705000,0.380780,0.313634
15799,0.704551,0.735000,0.381418,0.429985
15999,0.704557,0.705000,0.380508,0.238120
16199,0.705500,0.780000,0.381837,0.476253
16399,0.706111,0.755000,0.382499,0.419431
16599,0.706829,0.765000,0.383465,0.453234
16799,0.706747,0.700000,0.382950,0.331625
16999,0.706905,0.720000,0.382564,0.312968
17199,0.706824,0.700000,0.382064,0.331551
17399,0.707500,0.765000,0.382772,0.420326
17599,0.708218,0.770000,0.383837,0.471507
17799,0.708750,0.755000,0.384294,0.402001
17999,0.709157,0.745000,0.384702,0.411629
18199,0.709444,0.735000,0.384864,0.388697
18399,0.709176,0.685000,0.383584,0.214464
18599,0.709565,0.745000,0.383843,0.390098
18799,0.710699,0.815000,0.385215,0.473684
18999,0.710266,0.670000,0.383830,0.228702
19199,0.710263,0.710000,0.382956,0.226667
19399,0.709948,0.680000,0.381968,0.276346
19599,0.710309,0.745000,0.382410,0.421244
19799,0.710714,0.750000,0.382529,0.358563
19999,0.710808,0.720000,0.381994,0.281222
