# TEST CONFIGURATION BEGIN
# FileStream(filename='stagger_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] PerceptronMask(alpha=0.0001, class_weight=None, early_stopping=False, eta0=1.0, fit_intercept=True, max_iter=None, n_iter=None, n_iter_no_change=5, n_jobs=None, penalty=None, random_state=0, shuffle=True, tol=None, validation_fraction=0.1, verbose=0, warm_start=False)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.PerceptronMask.stagger_gen.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,1.000000,1.000000,1.000000,1.000000
399,0.860000,0.860000,0.717429,0.717429
599,0.877500,0.895000,0.755147,0.788945
799,0.853333,0.805000,0.705604,0.599095
999,0.847500,0.830000,0.691670,0.641009
1199,0.855000,0.885000,0.706976,0.768052
1399,0.854167,0.850000,0.704557,0.691104
1599,0.861429,0.905000,0.719048,0.806478
1799,0.856875,0.825000,0.710414,0.649369
1999,0.859444,0.880000,0.715028,0.751115
2199,0.857000,0.835000,0.710292,0.667674
2399,0.852727,0.810000,0.702256,0.620000
2599,0.850000,0.820000,0.696492,0.631751
2799,0.842692,0.755000,0.681778,0.505650
2999,0.845000,0.875000,0.686099,0.742109
3199,0.844000,0.830000,0.684455,0.659728
3399,0.840313,0.785000,0.677381,0.569914
3599,0.842353,0.875000,0.680935,0.734212
3799,0.841667,0.830000,0.679847,0.659694
3999,0.842895,0.865000,0.682038,0.720439
4199,0.842000,0.825000,0.679915,0.636175
4399,0.840714,0.815000,0.676796,0.604363
4599,0.840000,0.825000,0.675987,0.648524
4799,0.838696,0.810000,0.673479,0.618167
4999,0.837292,0.805000,0.670592,0.603900
5199,0.837600,0.845000,0.671080,0.682377
5399,0.837308,0.830000,0.670638,0.658806
5599,0.838519,0.870000,0.672812,0.728005
5799,0.837857,0.820000,0.671620,0.638844
5999,0.837241,0.820000,0.670272,0.631714
6199,0.837333,0.840000,0.670565,0.678424
6399,0.838871,0.885000,0.673601,0.765114
6599,0.839219,0.850000,0.674359,0.697581
6799,0.838788,0.825000,0.673636,0.649299
6999,0.838382,0.825000,0.673142,0.649369
7199,0.838714,0.850000,0.673884,0.698553
7399,0.838333,0.825000,0.673074,0.644453
7599,0.839054,0.865000,0.674792,0.729838
7799,0.838816,0.830000,0.674205,0.651067
7999,0.838462,0.825000,0.673518,0.647462
8199,0.837500,0.800000,0.671494,0.590835
8399,0.837561,0.840000,0.671820,0.679872
8599,0.837262,0.825000,0.671319,0.649579
8799,0.838140,0.875000,0.673084,0.747271
8999,0.837841,0.825000,0.672547,0.649017
9199,0.837889,0.840000,0.672701,0.678973
9399,0.838804,0.880000,0.674517,0.756518
9599,0.838723,0.835000,0.674454,0.669868
9799,0.838021,0.805000,0.673063,0.607804
9999,0.838367,0.855000,0.673789,0.708367
10199,0.838300,0.835000,0.673577,0.661885
10399,0.838235,0.835000,0.673426,0.665789
10599,0.838654,0.860000,0.674339,0.719551
10799,0.838491,0.830000,0.673884,0.645870
10999,0.838611,0.845000,0.674142,0.687752
11199,0.836909,0.745000,0.670625,0.475740
11399,0.833571,0.650000,0.663702,0.253652
11599,0.831228,0.700000,0.658848,0.375585
11799,0.830690,0.800000,0.657701,0.590835
11999,0.832034,0.910000,0.660178,0.802220
12199,0.833250,0.905000,0.662432,0.794595
12399,0.835656,0.980000,0.666980,0.953661
12599,0.838065,0.985000,0.671672,0.967735
12799,0.840397,0.985000,0.676169,0.966924
12999,0.842891,1.000000,0.680932,1.000000
13199,0.845308,1.000000,0.685573,1.000000
13399,0.847652,1.000000,0.690025,1.000000
13599,0.849925,1.000000,0.694443,1.000000
13799,0.852132,1.000000,0.698511,1.000000
13999,0.854275,1.000000,0.702519,1.000000
14199,0.856357,1.000000,0.706599,1.000000
14399,0.858380,1.000000,0.710616,1.000000
14599,0.860347,1.000000,0.714391,1.000000
14799,0.862260,1.000000,0.718159,1.000000
14999,0.864122,1.000000,0.721746,1.000000
15199,0.865933,1.000000,0.725459,1.000000
15399,0.867697,1.000000,0.729007,1.000000
15599,0.869416,1.000000,0.732376,1.000000
15799,0.871090,1.000000,0.735748,1.000000
15999,0.872722,1.000000,0.738907,1.000000
16199,0.874313,1.000000,0.741968,1.000000
16399,0.875864,1.000000,0.744987,1.000000
16599,0.877378,1.000000,0.748027,1.000000
16799,0.878855,1.000000,0.750842,1.000000
16999,0.880298,1.000000,0.753673,1.000000
17199,0.881706,1.000000,0.756379,1.000000
17399,0.883081,1.000000,0.759114,1.000000
17599,0.884425,1.000000,0.761806,1.000000
17799,0.885739,1.000000,0.764284,1.000000
17999,0.887022,1.000000,0.766795,1.000000
18199,0.888278,1.000000,0.769382,1.000000
18399,0.889505,1.000000,0.771646,1.000000
18599,0.890707,1.000000,0.773962,1.000000
18799,0.891882,1.000000,0.776148,1.000000
18999,0.893032,1.000000,0.778416,1.000000
19199,0.894158,1.000000,0.780691,1.000000
19399,0.895260,1.000000,0.782814,1.000000
19599,0.896340,1.000000,0.784973,1.000000
19799,0.897398,1.000000,0.787081,1.000000
19999,0.898434,1.000000,0.789114,1.000000
