# TEST CONFIGURATION BEGIN
# FileStream(filename='agrawal_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.SGDClassifier.agrawal_gen.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,1.000000,1.000000,1.000000,1.000000
399,0.635000,0.635000,0.006532,0.006532
599,0.602500,0.570000,0.022140,0.020390
799,0.568333,0.500000,0.001183,-0.061121
999,0.556250,0.520000,0.003159,-0.008721
1199,0.567000,0.610000,0.023059,0.105505
1399,0.571667,0.595000,0.032595,0.080799
1599,0.558571,0.480000,0.013392,-0.103448
1799,0.548125,0.475000,-0.004613,-0.129032
1999,0.538889,0.465000,-0.013426,-0.099918
2199,0.543000,0.580000,-0.007065,0.050204
2399,0.539545,0.505000,-0.005174,-0.011236
2599,0.544167,0.595000,0.005147,0.118607
2799,0.544615,0.550000,0.002664,-0.034007
2999,0.547500,0.585000,0.005729,0.042676
3199,0.552000,0.615000,0.011880,0.096244
3399,0.554688,0.595000,0.012773,0.011472
3599,0.554706,0.555000,0.011111,-0.016910
3799,0.557778,0.610000,0.013877,0.053053
3999,0.557895,0.560000,0.012683,-0.009985
4199,0.559750,0.595000,0.016407,0.088249
4399,0.559762,0.560000,0.016898,0.026549
4599,0.559091,0.545000,0.015660,-0.010213
4799,0.560000,0.580000,0.017466,0.057451
4999,0.559167,0.540000,0.014806,-0.048433
5199,0.559800,0.575000,0.015912,0.042577
5399,0.557308,0.495000,0.011704,-0.090242
5599,0.557778,0.570000,0.008825,-0.102564
5799,0.558929,0.590000,0.011356,0.079789
5999,0.558103,0.535000,0.010838,-0.005405
6199,0.559000,0.585000,0.011672,0.034884
6399,0.560323,0.600000,0.013181,0.057493
6599,0.558750,0.510000,0.011023,-0.056034
6799,0.558485,0.550000,0.009056,-0.060320
6999,0.556471,0.490000,0.005184,-0.120756
7199,0.556571,0.560000,0.005182,0.005088
7399,0.556389,0.550000,0.005982,0.029336
7599,0.555676,0.530000,0.004341,-0.054758
7799,0.556053,0.570000,0.005336,0.042316
7999,0.554744,0.505000,0.003014,-0.084337
8199,0.554125,0.530000,0.001022,-0.079467
8399,0.553780,0.540000,0.000922,-0.003490
8599,0.554286,0.575000,0.000160,-0.048089
8799,0.553953,0.540000,0.000601,0.013405
8999,0.554886,0.595000,0.002902,0.100799
9199,0.555667,0.590000,0.003957,0.050046
9399,0.555652,0.555000,0.002538,-0.075139
9599,0.556489,0.595000,0.003712,0.058140
9799,0.556979,0.580000,0.003437,-0.019789
9999,0.556837,0.550000,0.002857,-0.025641
10199,0.556900,0.560000,0.002301,-0.026598
10399,0.558431,0.635000,0.004560,0.118144
10599,0.558942,0.585000,0.004854,0.016588
10799,0.558679,0.545000,0.004432,-0.016760
10999,0.557778,0.510000,0.002353,-0.108096
11199,0.557091,0.520000,0.001587,-0.040650
11399,0.557321,0.570000,0.001645,0.004053
11599,0.556228,0.495000,0.001448,-0.037600
11799,0.555948,0.540000,0.004315,0.077047
11999,0.556017,0.560000,0.008020,0.119384
12199,0.555083,0.500000,0.009299,-0.001201
12399,0.552869,0.420000,0.007002,-0.169355
12599,0.551452,0.465000,0.006646,-0.074297
12799,0.550317,0.480000,0.007168,-0.040520
12999,0.549844,0.520000,0.009725,0.038462
13199,0.549538,0.530000,0.011771,0.059530
13399,0.549318,0.535000,0.012767,0.050633
13599,0.549328,0.550000,0.015847,0.099550
13799,0.547353,0.415000,0.013771,-0.172345
13999,0.545580,0.425000,0.012053,-0.152074
14199,0.544786,0.490000,0.011908,-0.030199
14399,0.543521,0.455000,0.011979,-0.093061
14599,0.542153,0.445000,0.010492,-0.119855
14799,0.541575,0.500000,0.011490,0.000300
14999,0.540878,0.490000,0.011831,-0.020510
15199,0.539667,0.450000,0.010920,-0.101763
15399,0.539276,0.510000,0.011347,0.012395
15599,0.538182,0.455000,0.010399,-0.094597
15799,0.538013,0.525000,0.011246,0.043110
15999,0.536899,0.450000,0.010200,-0.103864
16199,0.536813,0.530000,0.011636,0.060282
16399,0.534877,0.380000,0.008615,-0.247987
16599,0.534573,0.510000,0.009104,0.015273
16799,0.534217,0.505000,0.009597,0.009207
16999,0.533869,0.505000,0.009824,0.003021
17199,0.533176,0.475000,0.009821,-0.049790
17399,0.532733,0.495000,0.010351,-0.010000
17599,0.532184,0.485000,0.010719,-0.031237
17799,0.531477,0.470000,0.010069,-0.066828
17999,0.530843,0.475000,0.009735,-0.052104
18199,0.530500,0.500000,0.010380,-0.000801
18399,0.530220,0.505000,0.010364,-0.003243
18599,0.530272,0.535000,0.011234,0.064951
18799,0.530108,0.515000,0.011229,0.006351
18999,0.529787,0.500000,0.011011,-0.017087
19199,0.529421,0.495000,0.011381,-0.010000
19399,0.529427,0.530000,0.012239,0.059342
19599,0.528454,0.435000,0.011177,-0.130000
19799,0.527449,0.430000,0.009775,-0.144004
19999,0.527778,0.560000,0.010434,0.075339
