# TEST CONFIGURATION BEGIN
# FileStream(filename='covtype.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.SGDClassifier.covtype.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,0.000000,0.000000,0.000000,0.000000
399,0.705000,0.705000,0.525876,0.525876
599,0.682500,0.660000,0.506043,0.479645
799,0.713333,0.775000,0.589128,0.680352
999,0.672500,0.550000,0.568328,0.453834
1199,0.638000,0.500000,0.547265,0.391598
1399,0.632500,0.605000,0.543946,0.451941
1599,0.635714,0.655000,0.545646,0.513502
1799,0.638125,0.655000,0.553509,0.565983
1999,0.635000,0.610000,0.554024,0.486470
2199,0.642500,0.710000,0.569105,0.574046
2399,0.653182,0.760000,0.583272,0.603388
2599,0.663750,0.780000,0.595137,0.615385
2799,0.666538,0.700000,0.596964,0.477466
2999,0.670357,0.720000,0.599102,0.450469
3199,0.672000,0.695000,0.597820,0.382028
3399,0.672500,0.680000,0.596006,0.524994
3599,0.675882,0.730000,0.597599,0.591435
3799,0.675000,0.660000,0.594693,0.491912
3999,0.673684,0.650000,0.592202,0.514260
4199,0.670750,0.615000,0.587818,0.471408
4399,0.668810,0.630000,0.584946,0.499188
4599,0.666136,0.610000,0.581700,0.448061
4799,0.661739,0.565000,0.577096,0.426216
4999,0.659167,0.600000,0.575171,0.418161
5199,0.658400,0.640000,0.574324,0.433873
5399,0.655000,0.570000,0.570409,0.362325
5599,0.648148,0.470000,0.565228,0.329199
5799,0.644286,0.540000,0.563008,0.397689
5999,0.639310,0.500000,0.559450,0.383249
6199,0.634000,0.480000,0.554656,0.341293
6399,0.630806,0.535000,0.552879,0.406699
6599,0.625469,0.460000,0.547813,0.324958
6799,0.622879,0.540000,0.546123,0.397294
6999,0.620735,0.550000,0.545222,0.397328
7199,0.615571,0.440000,0.540364,0.309558
7399,0.612500,0.505000,0.537853,0.382966
7599,0.608108,0.450000,0.533432,0.297775
7799,0.606579,0.550000,0.532462,0.414691
7999,0.603205,0.475000,0.529897,0.197677
8199,0.602625,0.580000,0.530676,0.311757
8399,0.607683,0.810000,0.537667,0.538919
8599,0.609762,0.695000,0.540865,0.398392
8799,0.608953,0.575000,0.540537,0.282367
8999,0.609886,0.650000,0.542023,0.438923
9199,0.610111,0.620000,0.542493,0.435196
9399,0.610761,0.640000,0.543420,0.404540
9599,0.611809,0.660000,0.544724,0.445486
9799,0.610000,0.525000,0.543015,0.366054
9999,0.609694,0.595000,0.542842,0.213478
10199,0.610200,0.635000,0.543379,0.281531
10399,0.613235,0.765000,0.546992,0.657472
10599,0.612500,0.575000,0.546836,0.081131
10799,0.612264,0.600000,0.546939,0.387325
10999,0.610463,0.515000,0.544938,0.378783
11199,0.607545,0.450000,0.541488,0.295098
11399,0.604732,0.450000,0.538158,0.301099
11599,0.605965,0.675000,0.539448,0.384936
11799,0.606466,0.635000,0.539793,0.350100
11999,0.604661,0.500000,0.537485,0.306086
12199,0.602333,0.465000,0.534565,0.277125
12399,0.599672,0.440000,0.531307,0.233113
12599,0.596290,0.390000,0.527422,0.244956
12799,0.592778,0.375000,0.523423,0.235310
12999,0.589922,0.410000,0.520134,0.220530
13199,0.586231,0.350000,0.515902,0.178930
13399,0.584394,0.465000,0.513891,0.286714
13599,0.586343,0.715000,0.516223,0.421965
13799,0.584853,0.485000,0.514534,0.201612
13999,0.584348,0.550000,0.514023,0.423779
14199,0.587000,0.770000,0.517229,0.681297
14399,0.592113,0.950000,0.523618,0.822821
14599,0.597222,0.960000,0.529857,0.755800
14799,0.602055,0.950000,0.535618,0.839202
14999,0.606892,0.960000,0.541258,0.834745
15199,0.611467,0.950000,0.546479,0.800319
15399,0.616053,0.960000,0.551609,0.834745
15599,0.620455,0.955000,0.556469,0.863107
15799,0.624744,0.955000,0.561171,0.891021
15999,0.628797,0.945000,0.565579,0.880448
16199,0.633062,0.970000,0.570113,0.909890
16399,0.637346,0.980000,0.574632,0.943198
16599,0.641524,0.980000,0.578990,0.942963
16799,0.645542,0.975000,0.583147,0.934495
16999,0.649405,0.970000,0.587087,0.918892
17199,0.653294,0.980000,0.591095,0.953626
17399,0.657093,0.980000,0.594974,0.952900
17599,0.660862,0.985000,0.598744,0.958842
17799,0.664432,0.975000,0.602271,0.933084
17999,0.668034,0.985000,0.605779,0.954233
18199,0.671611,0.990000,0.609175,0.960552
18399,0.674945,0.975000,0.612220,0.875792
18599,0.678261,0.980000,0.615417,0.947181
18799,0.681505,0.980000,0.618557,0.949843
18999,0.684734,0.985000,0.621584,0.954393
19199,0.687789,0.975000,0.624393,0.922601
19399,0.690729,0.970000,0.627129,0.920000
19599,0.693557,0.965000,0.629726,0.906040
19799,0.696276,0.960000,0.632140,0.879445
19999,0.699242,0.990000,0.634634,0.911348
