# TEST CONFIGURATION BEGIN
# FileStream(filename='elec.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.SGDClassifier.elec.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,0.000000,0.000000,0.000000,0.000000
399,0.840000,0.840000,0.584254,0.584254
599,0.845000,0.850000,0.583879,0.582870
799,0.830000,0.800000,0.613563,0.599680
999,0.823750,0.805000,0.597137,0.546828
1199,0.831000,0.860000,0.612684,0.675626
1399,0.825833,0.800000,0.625558,0.583377
1599,0.814286,0.745000,0.603215,0.471940
1799,0.807500,0.760000,0.594726,0.519856
1999,0.814444,0.870000,0.602730,0.643640
2199,0.809000,0.760000,0.593187,0.507440
2399,0.812727,0.850000,0.608798,0.687533
2599,0.816250,0.855000,0.614326,0.673423
2799,0.816154,0.815000,0.608276,0.404953
2999,0.818214,0.845000,0.613997,0.682377
3199,0.815000,0.770000,0.605265,0.462428
3399,0.816875,0.845000,0.606926,0.621767
3599,0.815588,0.795000,0.607389,0.590082
3799,0.817222,0.845000,0.610996,0.671958
3999,0.818421,0.840000,0.610977,0.584254
4199,0.818750,0.825000,0.613194,0.645749
4399,0.819762,0.840000,0.616619,0.675456
4599,0.822955,0.890000,0.623183,0.762726
4799,0.823261,0.830000,0.624648,0.652316
4999,0.820000,0.745000,0.617612,0.454545
5199,0.815200,0.700000,0.610597,0.382398
5399,0.815385,0.820000,0.611023,0.621730
5599,0.815000,0.805000,0.608743,0.518994
5799,0.816071,0.845000,0.611674,0.684253
5999,0.815862,0.810000,0.612123,0.617514
6199,0.815667,0.810000,0.612406,0.615385
6399,0.816129,0.830000,0.616259,0.627029
6599,0.817344,0.855000,0.619343,0.707366
6799,0.817879,0.835000,0.622207,0.659583
6999,0.817206,0.795000,0.621649,0.590246
7199,0.815429,0.755000,0.618782,0.510196
7399,0.816806,0.865000,0.622692,0.726997
7599,0.816892,0.820000,0.623467,0.640036
7799,0.818553,0.880000,0.627844,0.755874
7999,0.818333,0.810000,0.627935,0.620000
8199,0.818125,0.810000,0.627864,0.619696
8399,0.820000,0.895000,0.631934,0.789114
8599,0.820119,0.825000,0.632909,0.643512
8799,0.820116,0.820000,0.632760,0.625624
8999,0.820795,0.850000,0.634583,0.699549
9199,0.821556,0.855000,0.637128,0.678064
9399,0.820652,0.780000,0.635634,0.559339
9599,0.819255,0.755000,0.632990,0.510294
9799,0.819583,0.835000,0.633460,0.652485
9999,0.818469,0.765000,0.630984,0.503171
10199,0.819400,0.865000,0.632823,0.723531
10399,0.819314,0.815000,0.632253,0.583239
10599,0.820096,0.860000,0.634128,0.720140
10799,0.820755,0.855000,0.635950,0.703779
10999,0.821574,0.865000,0.637611,0.726277
11199,0.820182,0.745000,0.634831,0.485368
11399,0.819554,0.785000,0.633601,0.566095
11599,0.821667,0.940000,0.637990,0.879566
11799,0.822155,0.850000,0.639121,0.700210
11999,0.822542,0.845000,0.640392,0.674984
12199,0.822417,0.815000,0.640178,0.627392
12399,0.823525,0.890000,0.642694,0.778293
12599,0.824516,0.885000,0.644657,0.765066
12799,0.825317,0.875000,0.646609,0.743852
12999,0.826016,0.870000,0.648147,0.740104
13199,0.825385,0.785000,0.646870,0.565481
13399,0.825909,0.860000,0.647672,0.686099
13599,0.825970,0.830000,0.647977,0.659455
13799,0.826103,0.835000,0.648368,0.670000
13999,0.826522,0.855000,0.648852,0.642857
14199,0.827214,0.875000,0.650444,0.748996
14399,0.827958,0.880000,0.651631,0.714320
14599,0.827083,0.765000,0.649724,0.502646
14799,0.826712,0.800000,0.648965,0.594197
14999,0.826622,0.820000,0.648741,0.631864
15199,0.827200,0.870000,0.649656,0.704243
15399,0.826316,0.760000,0.647816,0.507440
15599,0.826558,0.845000,0.648459,0.690433
15799,0.826603,0.830000,0.648146,0.552632
15999,0.826519,0.820000,0.647623,0.553571
16199,0.826562,0.830000,0.647413,0.599198
16399,0.826914,0.855000,0.647742,0.631980
16599,0.827073,0.840000,0.648318,0.677419
16799,0.827530,0.865000,0.649416,0.729838
16999,0.827798,0.850000,0.649870,0.686291
17199,0.828059,0.850000,0.650356,0.691199
17399,0.827674,0.795000,0.649320,0.527323
17599,0.828103,0.865000,0.649807,0.647243
17799,0.828920,0.900000,0.651323,0.784367
17999,0.829607,0.890000,0.652718,0.775808
18199,0.830333,0.895000,0.654642,0.771441
18399,0.830604,0.855000,0.655159,0.702259
18599,0.830978,0.865000,0.656068,0.729946
18799,0.831183,0.850000,0.656554,0.698916
18999,0.832074,0.915000,0.658563,0.829249
19199,0.832368,0.860000,0.659534,0.696214
19399,0.831875,0.785000,0.658351,0.520838
19599,0.832165,0.860000,0.658883,0.709784
19799,0.832041,0.820000,0.658367,0.566265
19999,0.831364,0.765000,0.657057,0.528586
