# TEST CONFIGURATION BEGIN
# FileStream(filename='hyperplane_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.SGDClassifier.hyperplane_gen.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,0.000000,0.000000,0.000000,0.000000
399,0.595000,0.595000,0.189027,0.189027
599,0.567500,0.540000,0.134957,0.077787
799,0.568333,0.570000,0.136705,0.139570
999,0.576250,0.600000,0.152532,0.199920
1199,0.567000,0.530000,0.133979,0.060000
1399,0.569167,0.580000,0.138305,0.157050
1599,0.564286,0.535000,0.128459,0.068136
1799,0.555625,0.495000,0.111242,-0.021234
1999,0.558889,0.585000,0.117621,0.162462
2199,0.563500,0.605000,0.126885,0.210000
2399,0.563182,0.560000,0.126359,0.115133
2599,0.567083,0.610000,0.134161,0.216238
2799,0.570000,0.605000,0.139988,0.209842
2999,0.571786,0.595000,0.143567,0.184126
3199,0.577333,0.655000,0.154631,0.297209
3399,0.579063,0.605000,0.158053,0.208099
3599,0.576176,0.530000,0.152324,0.057739
3799,0.578333,0.615000,0.156594,0.226752
3999,0.579211,0.595000,0.158284,0.185438
4199,0.579750,0.590000,0.159375,0.180082
4399,0.580476,0.595000,0.160836,0.190162
4599,0.581364,0.600000,0.162479,0.186330
4799,0.582174,0.600000,0.164030,0.196141
4999,0.584583,0.640000,0.168631,0.261160
5199,0.588000,0.670000,0.175509,0.340264
5399,0.587115,0.565000,0.173907,0.122099
5599,0.588519,0.625000,0.176647,0.246685
5799,0.588036,0.575000,0.175725,0.150000
5999,0.588276,0.595000,0.176277,0.188539
6199,0.589833,0.635000,0.179387,0.269708
6399,0.588065,0.535000,0.175862,0.070186
6599,0.588125,0.590000,0.176002,0.180328
6799,0.586212,0.525000,0.172219,0.048859
6999,0.585147,0.550000,0.170177,0.088331
7199,0.583571,0.530000,0.167032,0.060000
7399,0.585417,0.650000,0.170714,0.299440
7599,0.585405,0.585000,0.170690,0.169834
7799,0.585132,0.575000,0.170161,0.149490
7999,0.585513,0.600000,0.170907,0.198718
8199,0.584875,0.560000,0.169607,0.117175
8399,0.584390,0.565000,0.168621,0.128431
8599,0.583690,0.555000,0.167262,0.106246
8799,0.583605,0.580000,0.167093,0.160252
8999,0.583409,0.575000,0.166730,0.147442
9199,0.583444,0.585000,0.166821,0.169502
9399,0.583261,0.575000,0.166442,0.148467
9599,0.584574,0.645000,0.169074,0.290000
9799,0.583333,0.525000,0.166573,0.046185
9999,0.583469,0.590000,0.166845,0.179918
10199,0.584000,0.610000,0.167905,0.220000
10399,0.584314,0.600000,0.168546,0.199359
10599,0.584904,0.615000,0.169735,0.230000
10799,0.585566,0.620000,0.171067,0.240228
10999,0.585556,0.585000,0.171060,0.168503
11199,0.586364,0.630000,0.172682,0.259778
11399,0.586250,0.580000,0.172467,0.158991
11599,0.585789,0.560000,0.171547,0.120703
11799,0.585948,0.595000,0.171854,0.186747
11999,0.586525,0.620000,0.173033,0.227014
12199,0.586250,0.570000,0.172498,0.129555
12399,0.586148,0.580000,0.172297,0.151086
12599,0.586371,0.600000,0.172741,0.198798
12799,0.585794,0.550000,0.171589,0.096748
12999,0.585938,0.595000,0.171870,0.177331
13199,0.585692,0.570000,0.171378,0.139656
13399,0.586439,0.635000,0.172859,0.256922
13599,0.586866,0.615000,0.173706,0.228148
13799,0.586985,0.595000,0.173956,0.184618
13999,0.587609,0.630000,0.175195,0.256431
14199,0.588071,0.620000,0.176126,0.238858
14399,0.587746,0.565000,0.175485,0.122099
14599,0.588194,0.620000,0.176381,0.240076
14799,0.587808,0.560000,0.175614,0.113350
14999,0.588041,0.605000,0.176081,0.207782
15199,0.588733,0.640000,0.177467,0.271255
15399,0.589539,0.650000,0.179079,0.296836
15599,0.590000,0.625000,0.179999,0.250300
15799,0.590064,0.595000,0.180129,0.187073
15999,0.589557,0.550000,0.179116,0.100000
16199,0.589500,0.585000,0.178996,0.147494
16399,0.589506,0.590000,0.179009,0.180000
16599,0.589207,0.565000,0.178410,0.129652
16799,0.589217,0.590000,0.178430,0.181310
16999,0.589286,0.595000,0.178567,0.189514
17199,0.589412,0.600000,0.178825,0.186579
17399,0.589419,0.590000,0.178839,0.178027
17599,0.590460,0.680000,0.180920,0.340954
17799,0.591080,0.645000,0.182158,0.286432
17999,0.591404,0.620000,0.182810,0.240000
18199,0.591667,0.615000,0.183334,0.229846
18399,0.592637,0.680000,0.185276,0.360000
18599,0.592609,0.590000,0.185219,0.180328
18799,0.592366,0.570000,0.184734,0.138708
18999,0.592074,0.565000,0.184153,0.127557
19199,0.591421,0.530000,0.182845,0.059247
19399,0.591146,0.565000,0.182294,0.126155
19599,0.591495,0.625000,0.182994,0.251049
19799,0.591378,0.580000,0.182758,0.155949
19999,0.591111,0.565000,0.182225,0.129129
