# TEST CONFIGURATION BEGIN
# FileStream(filename='led_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.SGDClassifier.led_gen.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,0.000000,0.000000,0.000000,0.000000
399,0.170000,0.170000,0.076418,0.076418
599,0.215000,0.260000,0.124702,0.163416
799,0.208333,0.195000,0.117248,0.101613
999,0.208750,0.210000,0.118780,0.116874
1199,0.210000,0.215000,0.121449,0.124250
1399,0.215833,0.245000,0.127817,0.156307
1599,0.225714,0.285000,0.139218,0.203365
1799,0.230000,0.260000,0.143988,0.176291
1999,0.237222,0.295000,0.152124,0.211762
2199,0.232500,0.190000,0.146825,0.096763
2399,0.230909,0.215000,0.145069,0.123811
2599,0.229583,0.215000,0.143597,0.121113
2799,0.230769,0.245000,0.144989,0.154748
2999,0.232500,0.255000,0.146826,0.164681
3199,0.233000,0.240000,0.147372,0.154828
3399,0.236250,0.285000,0.150989,0.199754
3599,0.237353,0.255000,0.152236,0.167900
3799,0.238333,0.255000,0.153426,0.163744
3999,0.240789,0.285000,0.156105,0.203609
4199,0.241500,0.255000,0.156883,0.164400
4399,0.242143,0.255000,0.157611,0.169315
4599,0.243636,0.275000,0.159228,0.190374
4799,0.242174,0.210000,0.157563,0.119188
4999,0.243333,0.270000,0.158934,0.183582
5199,0.242000,0.210000,0.157488,0.119556
5399,0.241731,0.235000,0.157247,0.144750
5599,0.241111,0.225000,0.156539,0.135840
5799,0.240179,0.215000,0.155490,0.125787
5999,0.240000,0.235000,0.155299,0.146039
6199,0.240667,0.260000,0.156070,0.176978
6399,0.242903,0.310000,0.158587,0.227345
6599,0.242344,0.225000,0.157972,0.135238
6799,0.241818,0.225000,0.157371,0.133376
6999,0.243676,0.305000,0.159432,0.221005
7199,0.243143,0.225000,0.158866,0.137187
7399,0.241528,0.185000,0.157084,0.090833
7599,0.240946,0.220000,0.156437,0.125708
7799,0.240395,0.220000,0.155860,0.127956
7999,0.240256,0.235000,0.155728,0.147086
8199,0.239125,0.195000,0.154475,0.103888
8399,0.238537,0.215000,0.153831,0.125397
8599,0.238571,0.240000,0.153871,0.154028
8799,0.239070,0.260000,0.154415,0.176222
8999,0.238750,0.225000,0.154057,0.132843
9199,0.238333,0.220000,0.153595,0.132007
9399,0.239565,0.295000,0.154952,0.209818
9599,0.239574,0.240000,0.154969,0.153581
9799,0.240729,0.295000,0.156258,0.212026
9999,0.240102,0.210000,0.155565,0.117811
10199,0.239400,0.205000,0.154792,0.112896
10399,0.240980,0.320000,0.156539,0.236470
10599,0.241250,0.255000,0.156845,0.171278
10799,0.241415,0.250000,0.157026,0.163413
10999,0.240833,0.210000,0.156378,0.120537
11199,0.240909,0.245000,0.156464,0.155977
11399,0.240982,0.245000,0.156547,0.157084
11599,0.241228,0.255000,0.156821,0.167714
11799,0.241638,0.265000,0.157283,0.178748
11999,0.241271,0.220000,0.156883,0.129659
12199,0.241667,0.265000,0.157323,0.178977
12399,0.242213,0.275000,0.157936,0.190329
12599,0.242419,0.255000,0.158162,0.169662
12799,0.242460,0.245000,0.158200,0.156943
12999,0.242969,0.275000,0.158764,0.185553
13199,0.243154,0.255000,0.158966,0.169893
13399,0.241970,0.165000,0.157656,0.066726
13599,0.242836,0.300000,0.158622,0.216739
13799,0.242868,0.245000,0.158660,0.158446
13999,0.242609,0.225000,0.158385,0.135575
14199,0.243143,0.280000,0.158977,0.198374
14399,0.242676,0.210000,0.158465,0.119655
14599,0.242917,0.260000,0.158730,0.171147
14799,0.243904,0.315000,0.159821,0.235342
14999,0.244257,0.270000,0.160217,0.183993
15199,0.244400,0.255000,0.160370,0.163790
15399,0.243487,0.175000,0.159359,0.081701
15599,0.242922,0.200000,0.158712,0.097065
15799,0.242628,0.220000,0.158391,0.126173
15999,0.242278,0.215000,0.158002,0.127293
16199,0.242250,0.240000,0.157973,0.153957
16399,0.242593,0.270000,0.158357,0.186335
16599,0.243293,0.300000,0.159117,0.212820
16799,0.243193,0.235000,0.159001,0.146753
16999,0.243333,0.255000,0.159168,0.167086
17199,0.243059,0.220000,0.158855,0.129197
17399,0.243140,0.250000,0.158952,0.164369
17599,0.242701,0.205000,0.158458,0.113663
17799,0.241989,0.180000,0.157673,0.083338
17999,0.241910,0.235000,0.157592,0.148865
18199,0.242333,0.280000,0.158060,0.196070
18399,0.242143,0.225000,0.157843,0.136442
18599,0.242337,0.260000,0.158053,0.174660
18799,0.241935,0.205000,0.157613,0.110639
18999,0.241702,0.220000,0.157349,0.128443
19199,0.241053,0.180000,0.156635,0.087317
19399,0.241354,0.270000,0.156969,0.186720
19599,0.241082,0.215000,0.156674,0.125104
19799,0.240816,0.215000,0.156379,0.126516
19999,0.241162,0.275000,0.156759,0.191096
