# TEST CONFIGURATION BEGIN
# FileStream(filename='pokerhand.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.SGDClassifier.pokerhand.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,0.000000,0.000000,0.000000,0.000000
399,0.725000,0.725000,0.480887,0.480887
599,0.767500,0.810000,0.556271,0.306506
799,0.811667,0.900000,0.632361,0.794703
999,0.827500,0.875000,0.688102,0.635196
1199,0.832000,0.850000,0.693540,0.480609
1399,0.826667,0.800000,0.675539,0.420877
1599,0.817143,0.760000,0.647570,0.300699
1799,0.811875,0.775000,0.631609,0.487238
1999,0.809444,0.790000,0.640644,0.310118
2199,0.818500,0.900000,0.665135,0.753025
2399,0.822273,0.860000,0.667969,0.381010
2599,0.825000,0.855000,0.666856,0.291646
2799,0.825769,0.835000,0.662234,0.422673
2999,0.826071,0.830000,0.655903,0.294166
3199,0.824000,0.795000,0.647639,0.470558
3399,0.823750,0.820000,0.659001,0.177049
3599,0.828529,0.905000,0.671302,0.778128
3799,0.833333,0.915000,0.675922,0.396521
3999,0.838421,0.930000,0.680214,0.380531
4199,0.836500,0.800000,0.671531,0.116022
4399,0.838571,0.880000,0.670385,0.364238
4599,0.832500,0.705000,0.658484,0.412292
4799,0.828261,0.735000,0.648292,0.354249
4999,0.827917,0.820000,0.646406,0.585444
5199,0.825000,0.755000,0.638970,0.407461
5399,0.819231,0.675000,0.629412,0.386039
5599,0.820370,0.850000,0.643717,0.549955
5799,0.820893,0.835000,0.643793,0.644951
5999,0.820345,0.805000,0.639028,0.246522
6199,0.821000,0.840000,0.637569,0.520815
6399,0.820000,0.790000,0.633781,0.481641
6599,0.818281,0.765000,0.635625,0.492988
6799,0.820152,0.880000,0.645025,0.724312
6999,0.821618,0.870000,0.644822,0.447279
7199,0.821286,0.810000,0.641189,0.274809
7399,0.821111,0.815000,0.638518,0.447761
7599,0.819730,0.770000,0.639009,0.533469
7799,0.822632,0.930000,0.648256,0.780530
7999,0.824359,0.890000,0.648484,0.184430
8199,0.824750,0.840000,0.646479,0.257885
8399,0.824512,0.815000,0.643358,0.243044
8599,0.820476,0.655000,0.635710,0.339080
8799,0.818837,0.750000,0.631752,0.431139
8999,0.816932,0.735000,0.627958,0.465187
9199,0.815333,0.745000,0.629447,0.364763
9399,0.816630,0.875000,0.634478,0.778349
9599,0.815957,0.785000,0.631526,0.394963
9799,0.815104,0.775000,0.628182,0.360977
9999,0.813367,0.730000,0.627109,0.495704
10199,0.814800,0.885000,0.632758,0.753047
10399,0.815196,0.835000,0.631616,0.408390
10599,0.814615,0.785000,0.628963,0.388336
10799,0.814717,0.820000,0.631938,0.533377
10999,0.815833,0.875000,0.633034,0.682116
11199,0.815727,0.810000,0.630854,0.210963
11399,0.813839,0.710000,0.626854,0.388218
11599,0.813246,0.780000,0.624891,0.449725
11799,0.810517,0.655000,0.620017,0.360252
11999,0.809492,0.750000,0.622059,0.322585
12199,0.809833,0.830000,0.622820,0.664694
12399,0.808361,0.720000,0.619060,0.333809
12599,0.807500,0.755000,0.621192,0.464656
12799,0.808016,0.840000,0.621369,0.617522
12999,0.807266,0.760000,0.619572,0.497382
13199,0.807923,0.850000,0.622825,0.631585
13399,0.808636,0.855000,0.622325,0.092616
13599,0.805746,0.615000,0.616827,0.264881
13799,0.804926,0.750000,0.614872,0.471961
13999,0.804710,0.790000,0.617023,0.582671
14199,0.802929,0.680000,0.612831,0.251024
14399,0.802183,0.750000,0.613797,0.468085
14599,0.802292,0.810000,0.612864,0.446709
14799,0.801849,0.770000,0.613588,0.548843
14999,0.800811,0.725000,0.611047,0.365848
15199,0.799267,0.685000,0.609609,0.452650
15399,0.798158,0.715000,0.607979,0.492476
15599,0.797857,0.775000,0.608571,0.599769
15799,0.796987,0.730000,0.607331,0.502533
15999,0.794494,0.600000,0.603562,0.304922
16199,0.793687,0.730000,0.603852,0.508912
16399,0.792778,0.720000,0.602552,0.502134
16599,0.790732,0.625000,0.600625,0.421586
16799,0.789096,0.655000,0.601106,0.432869
16999,0.789107,0.790000,0.604159,0.474869
17199,0.789471,0.820000,0.607624,0.519840
17399,0.790640,0.890000,0.612042,0.642741
17599,0.791034,0.825000,0.615177,0.530327
17799,0.791420,0.825000,0.617935,0.477417
17999,0.791124,0.765000,0.619767,0.435198
18199,0.791111,0.790000,0.621882,0.481929
18399,0.790989,0.780000,0.624065,0.516722
18599,0.791576,0.845000,0.626447,0.478114
18799,0.792204,0.850000,0.628609,0.405293
18999,0.793351,0.900000,0.631280,0.390244
19199,0.793947,0.850000,0.633420,0.512671
19399,0.794375,0.835000,0.635170,0.466235
19599,0.794588,0.815000,0.636693,0.487179
19799,0.794082,0.745000,0.639156,0.612123
19999,0.795455,0.930000,0.646636,0.635417
