# TEST CONFIGURATION BEGIN
# FileStream(filename='rbf_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.SGDClassifier.rbf_gen.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,0.000000,0.000000,0.000000,0.000000
399,0.505000,0.505000,0.007817,0.007817
599,0.537500,0.570000,0.074861,0.139570
799,0.530000,0.515000,0.059749,0.029418
999,0.525000,0.510000,0.049335,0.016854
1199,0.513000,0.465000,0.025493,-0.069786
1399,0.506667,0.475000,0.013257,-0.053794
1599,0.507857,0.515000,0.015706,0.029029
1799,0.507500,0.505000,0.014903,-0.001011
1999,0.507778,0.510000,0.015163,0.010101
2199,0.510500,0.535000,0.020591,0.069442
2399,0.515455,0.565000,0.030730,0.127382
2599,0.517083,0.535000,0.033886,0.067763
2799,0.522308,0.585000,0.044453,0.169502
2999,0.518214,0.465000,0.036083,-0.079500
3199,0.517667,0.510000,0.035211,0.014481
3399,0.515625,0.485000,0.031173,-0.025692
3599,0.518529,0.565000,0.037159,0.079949
3799,0.519444,0.535000,0.038939,0.070000
3999,0.521579,0.560000,0.043195,0.120000
4199,0.518250,0.455000,0.036513,-0.101455
4399,0.522143,0.600000,0.044245,0.190283
4599,0.516364,0.395000,0.032648,-0.213641
4799,0.516304,0.515000,0.032534,0.030000
4999,0.516875,0.530000,0.033511,0.037773
5199,0.512800,0.415000,0.025444,-0.171171
5399,0.511346,0.475000,0.022650,-0.066206
5599,0.508519,0.435000,0.017037,-0.131131
5799,0.508750,0.515000,0.017514,0.030194
5999,0.510172,0.550000,0.020404,0.028602
6199,0.509333,0.485000,0.018695,-0.052094
6399,0.511290,0.570000,0.022410,0.074970
6599,0.508281,0.415000,0.016333,-0.176589
6799,0.506970,0.465000,0.013923,-0.143896
6999,0.507941,0.540000,0.015858,0.079263
7199,0.509143,0.550000,0.018311,0.096476
7399,0.508472,0.485000,0.016937,-0.035592
7599,0.509865,0.560000,0.019769,0.107957
7799,0.509079,0.480000,0.018184,-0.039065
7999,0.508590,0.490000,0.017215,-0.019083
8199,0.509375,0.540000,0.018739,0.055829
8399,0.509634,0.520000,0.019161,0.016393
8599,0.510595,0.550000,0.021080,0.099730
8799,0.509767,0.475000,0.019350,-0.069464
8999,0.509205,0.485000,0.018211,-0.031237
9199,0.509000,0.500000,0.017740,-0.006543
9399,0.508043,0.465000,0.015717,-0.088283
9599,0.507553,0.485000,0.014678,-0.036843
9799,0.507604,0.510000,0.014726,0.014085
9999,0.506837,0.470000,0.013258,-0.058835
10199,0.506700,0.500000,0.013066,-0.005530
10399,0.505784,0.460000,0.011289,-0.083793
10599,0.504904,0.460000,0.009441,-0.091460
10799,0.504811,0.500000,0.009240,0.002394
10999,0.504722,0.500000,0.009172,-0.012146
11199,0.504182,0.475000,0.008018,-0.066423
11399,0.503929,0.490000,0.007564,-0.023583
11599,0.504474,0.535000,0.008466,0.000000
11799,0.504138,0.485000,0.007733,-0.036217
11999,0.504492,0.525000,0.008392,0.043303
12199,0.504000,0.475000,0.007305,-0.071210
12399,0.503689,0.485000,0.006620,-0.038097
12599,0.502903,0.455000,0.004986,-0.097684
12799,0.503333,0.530000,0.005791,0.053850
12999,0.503203,0.495000,0.005489,-0.013649
13199,0.504385,0.580000,0.007899,0.165010
13399,0.503788,0.465000,0.006779,-0.071071
13599,0.504328,0.540000,0.007950,0.075563
13799,0.504485,0.515000,0.008134,-0.002273
13999,0.504348,0.495000,0.007750,-0.028932
14199,0.504929,0.545000,0.009045,0.083954
14399,0.505211,0.525000,0.009709,0.045418
14599,0.505278,0.510000,0.009794,0.012097
14799,0.506438,0.590000,0.012137,0.180082
14999,0.505743,0.455000,0.010740,-0.091310
15199,0.505400,0.480000,0.010104,-0.037924
15399,0.506053,0.555000,0.011324,0.092022
15599,0.505519,0.465000,0.010137,-0.103093
15799,0.505769,0.525000,0.010546,0.032587
15999,0.506013,0.525000,0.010966,0.037292
16199,0.506313,0.530000,0.011545,0.056698
16399,0.505988,0.480000,0.010831,-0.051780
16599,0.506341,0.535000,0.011596,0.071671
16799,0.506084,0.485000,0.010999,-0.045898
16999,0.506369,0.530000,0.011490,0.046266
17199,0.507176,0.575000,0.013188,0.148979
17399,0.507326,0.520000,0.013288,-0.022909
17599,0.507586,0.530000,0.013774,0.054326
17799,0.506989,0.455000,0.012571,-0.092184
17999,0.507303,0.535000,0.013211,0.069442
18199,0.506889,0.470000,0.012290,-0.078990
18399,0.506868,0.505000,0.012258,0.011384
18599,0.507228,0.540000,0.013122,0.065041
18799,0.507688,0.550000,0.014040,0.098648
18999,0.507660,0.505000,0.014052,0.010000
19199,0.507421,0.485000,0.013670,-0.038097
19399,0.506979,0.465000,0.012813,-0.069786
19599,0.507216,0.530000,0.013319,0.060282
19799,0.507041,0.490000,0.013036,-0.023377
19999,0.506869,0.490000,0.012641,-0.027397
