# TEST CONFIGURATION BEGIN
# FileStream(filename='sea_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.SGDClassifier.sea_gen.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,1.000000,1.000000,1.000000,1.000000
399,0.605000,0.605000,0.174158,0.174158
599,0.590000,0.575000,0.161897,0.144180
799,0.620000,0.680000,0.215173,0.324538
999,0.635000,0.680000,0.244429,0.333611
1199,0.653000,0.725000,0.280531,0.426247
1399,0.655000,0.665000,0.288415,0.322685
1599,0.647857,0.605000,0.279282,0.210000
1799,0.658750,0.735000,0.301567,0.458742
1999,0.658889,0.660000,0.303893,0.317612
2199,0.663000,0.700000,0.311865,0.384236
2399,0.672273,0.765000,0.327913,0.485214
2599,0.677917,0.740000,0.340127,0.472403
2799,0.675000,0.640000,0.335939,0.278846
2999,0.677500,0.710000,0.341761,0.415794
3199,0.678667,0.695000,0.344571,0.383589
3399,0.683438,0.755000,0.355128,0.508032
3599,0.690294,0.800000,0.368620,0.586649
3799,0.690833,0.700000,0.371211,0.399820
3999,0.695789,0.785000,0.380885,0.556518
4199,0.696500,0.710000,0.382744,0.416499
4399,0.698095,0.730000,0.385747,0.445813
4599,0.700000,0.740000,0.389694,0.472617
4799,0.700217,0.705000,0.391322,0.408936
4999,0.704375,0.800000,0.400205,0.599158
5199,0.703800,0.690000,0.398500,0.352007
5399,0.704808,0.730000,0.400735,0.456084
5599,0.706852,0.760000,0.404116,0.485420
5799,0.707857,0.735000,0.405672,0.444444
5999,0.707931,0.710000,0.405770,0.408646
6199,0.709333,0.750000,0.409142,0.499750
6399,0.710806,0.755000,0.411550,0.478723
6599,0.713125,0.785000,0.417105,0.569397
6799,0.713788,0.735000,0.418855,0.469682
6999,0.715441,0.770000,0.422477,0.538523
7199,0.717571,0.790000,0.426764,0.572823
7399,0.717778,0.725000,0.427012,0.434738
7599,0.719054,0.765000,0.429747,0.526687
7799,0.719211,0.725000,0.429980,0.438546
7999,0.720000,0.750000,0.431341,0.482134
8199,0.722250,0.810000,0.435746,0.608731
8399,0.722195,0.720000,0.435760,0.435939
8599,0.724881,0.835000,0.441144,0.662921
8799,0.726163,0.780000,0.443500,0.541714
8999,0.727955,0.805000,0.447051,0.600655
9199,0.729222,0.785000,0.449285,0.544974
9399,0.728370,0.690000,0.447264,0.348739
9599,0.729362,0.775000,0.449459,0.547557
9799,0.728646,0.695000,0.447961,0.377297
9999,0.729286,0.760000,0.449146,0.505919
10199,0.728900,0.710000,0.448601,0.418779
10399,0.729216,0.745000,0.449202,0.479379
10599,0.730000,0.770000,0.450602,0.521033
10799,0.730943,0.780000,0.452361,0.543710
10999,0.731759,0.775000,0.453773,0.526615
11199,0.732909,0.795000,0.456137,0.583503
11399,0.732946,0.735000,0.456185,0.458742
11599,0.733246,0.750000,0.456361,0.451092
11799,0.734138,0.785000,0.457901,0.543136
11999,0.735000,0.785000,0.459198,0.522752
12199,0.735750,0.780000,0.460290,0.513705
12399,0.736639,0.790000,0.461296,0.473420
12599,0.736613,0.735000,0.460528,0.360212
12799,0.737302,0.780000,0.461383,0.495413
12999,0.737891,0.775000,0.461995,0.476501
13199,0.737385,0.705000,0.460371,0.315068
13399,0.737121,0.720000,0.459430,0.381557
13599,0.737090,0.735000,0.458930,0.408746
13799,0.737059,0.735000,0.458350,0.394009
13999,0.736957,0.730000,0.457812,0.410995
14199,0.737214,0.755000,0.457755,0.425153
14399,0.738169,0.805000,0.459116,0.538243
14599,0.738264,0.745000,0.458825,0.417276
14799,0.739315,0.815000,0.460600,0.586592
14999,0.739122,0.725000,0.459808,0.385475
15199,0.739533,0.770000,0.460372,0.497981
15399,0.740000,0.775000,0.460874,0.485244
15599,0.740195,0.755000,0.460794,0.435093
15799,0.740385,0.755000,0.461070,0.481701
15999,0.740380,0.740000,0.460383,0.355878
16199,0.741375,0.820000,0.461943,0.579292
16399,0.742160,0.805000,0.463091,0.546301
16599,0.742622,0.780000,0.463587,0.490446
16799,0.742530,0.735000,0.463141,0.419623
16999,0.742679,0.755000,0.462902,0.414296
17199,0.742235,0.705000,0.461734,0.354203
17399,0.742616,0.775000,0.461964,0.456522
17599,0.743506,0.820000,0.463499,0.596413
17799,0.744148,0.800000,0.464274,0.514327
17999,0.744719,0.795000,0.465087,0.531000
18199,0.745167,0.785000,0.465708,0.516745
18399,0.745165,0.745000,0.465115,0.370992
18599,0.745978,0.820000,0.466390,0.579292
18799,0.746720,0.815000,0.467136,0.489373
18999,0.746223,0.700000,0.465722,0.310741
19199,0.746526,0.775000,0.465692,0.419355
19399,0.746354,0.730000,0.465081,0.398664
19599,0.746495,0.760000,0.465109,0.461883
19799,0.746684,0.765000,0.464855,0.393235
19999,0.746717,0.750000,0.464345,0.373355
