# TEST CONFIGURATION BEGIN
# FileStream(filename='stagger_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online.SGDClassifier.stagger_gen.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,1.000000,1.000000,1.000000,1.000000
399,0.885000,0.885000,0.765736,0.765736
599,0.882500,0.880000,0.764671,0.759157
799,0.860000,0.815000,0.717884,0.616977
999,0.857500,0.850000,0.710660,0.683244
1199,0.865000,0.895000,0.725988,0.787191
1399,0.865833,0.870000,0.726994,0.731294
1599,0.869286,0.890000,0.733927,0.775625
1799,0.866875,0.850000,0.729736,0.699278
1999,0.867778,0.875000,0.730930,0.739040
2199,0.864000,0.830000,0.723469,0.656566
2399,0.861364,0.835000,0.718769,0.669802
2599,0.858750,0.830000,0.713226,0.651067
2799,0.855000,0.810000,0.705680,0.615346
2999,0.857143,0.885000,0.709751,0.762740
3199,0.856000,0.840000,0.707840,0.679487
3399,0.852500,0.800000,0.701048,0.599359
3599,0.855294,0.900000,0.705976,0.781731
3799,0.854167,0.835000,0.703939,0.669007
3999,0.854737,0.865000,0.704811,0.719335
4199,0.853750,0.835000,0.702500,0.655532
4399,0.852143,0.820000,0.698723,0.613941
4599,0.852045,0.850000,0.699242,0.698916
4799,0.851522,0.840000,0.698367,0.678457
4999,0.850000,0.815000,0.695179,0.620979
5199,0.849600,0.840000,0.694259,0.671626
5399,0.849423,0.845000,0.694115,0.689130
5599,0.850185,0.870000,0.695416,0.728005
5799,0.849643,0.835000,0.694487,0.668675
5999,0.848103,0.805000,0.691279,0.600410
6199,0.847833,0.840000,0.690852,0.677971
6399,0.849839,0.910000,0.694838,0.815271
6599,0.849219,0.830000,0.693618,0.655870
6799,0.849545,0.860000,0.694458,0.719298
6999,0.848971,0.830000,0.693629,0.659694
7199,0.849000,0.850000,0.693770,0.698068
7399,0.848333,0.825000,0.692402,0.644453
7599,0.848919,0.870000,0.693876,0.739870
7799,0.848816,0.845000,0.693571,0.681332
7999,0.848846,0.850000,0.693679,0.697581
8199,0.848875,0.850000,0.693674,0.693126
8399,0.849146,0.860000,0.694456,0.719888
8599,0.848810,0.835000,0.693868,0.669073
8799,0.850000,0.900000,0.696248,0.796583
8999,0.849659,0.835000,0.695614,0.668142
9199,0.850222,0.875000,0.696778,0.747780
9399,0.850761,0.875000,0.697803,0.744010
9599,0.850745,0.850000,0.697858,0.699278
9799,0.850000,0.815000,0.696345,0.625506
9999,0.849694,0.835000,0.695746,0.667070
10199,0.849700,0.850000,0.695651,0.689055
10399,0.849804,0.855000,0.695777,0.701216
10599,0.850288,0.875000,0.696835,0.749298
10799,0.850377,0.855000,0.696855,0.693252
10999,0.850278,0.845000,0.696689,0.687752
11199,0.848727,0.765000,0.693444,0.511739
11399,0.845357,0.660000,0.686359,0.249034
11599,0.843421,0.735000,0.682223,0.427893
11799,0.842931,0.815000,0.681156,0.618399
11999,0.844237,0.920000,0.683542,0.821767
12199,0.845833,0.940000,0.686536,0.867257
12399,0.848115,0.985000,0.690843,0.965092
12599,0.850403,0.990000,0.695330,0.978550
12799,0.852698,0.995000,0.699766,0.988899
12999,0.855000,1.000000,0.704165,1.000000
13199,0.857231,1.000000,0.708457,1.000000
13399,0.859394,1.000000,0.712568,1.000000
13599,0.861493,1.000000,0.716661,1.000000
13799,0.863529,1.000000,0.720405,1.000000
13999,0.865507,1.000000,0.724104,1.000000
14199,0.867429,1.000000,0.727890,1.000000
14399,0.869296,1.000000,0.731623,1.000000
14599,0.871111,1.000000,0.735118,1.000000
14799,0.872877,1.000000,0.738618,1.000000
14999,0.874595,1.000000,0.741941,1.000000
15199,0.876267,1.000000,0.745403,1.000000
15399,0.877895,1.000000,0.748704,1.000000
15599,0.879481,1.000000,0.751831,1.000000
15799,0.881026,1.000000,0.754968,1.000000
15999,0.882532,1.000000,0.757896,1.000000
16199,0.884000,1.000000,0.760733,1.000000
16399,0.885432,1.000000,0.763533,1.000000
16599,0.886829,1.000000,0.766360,1.000000
16799,0.888193,1.000000,0.768967,1.000000
16999,0.889524,1.000000,0.771595,1.000000
17199,0.890824,1.000000,0.774103,1.000000
17399,0.892093,1.000000,0.776644,1.000000
17599,0.893333,1.000000,0.779147,1.000000
17799,0.894545,1.000000,0.781441,1.000000
17999,0.895730,1.000000,0.783771,1.000000
18199,0.896889,1.000000,0.786181,1.000000
18399,0.898022,1.000000,0.788273,1.000000
18599,0.899130,1.000000,0.790421,1.000000
18799,0.900215,1.000000,0.792442,1.000000
18999,0.901277,1.000000,0.794549,1.000000
19199,0.902316,1.000000,0.796665,1.000000
19399,0.903333,1.000000,0.798633,1.000000
19599,0.904330,1.000000,0.800640,1.000000
19799,0.905306,1.000000,0.802599,1.000000
19999,0.906263,1.000000,0.804486,1.000000
