# TEST CONFIGURATION BEGIN
# FileStream(filename='elec.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] HAT(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online_drift.HAT.elec.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,1.000000,1.000000,1.000000,1.000000
399,0.820000,0.820000,0.627984,0.627984
599,0.817500,0.815000,0.622622,0.617373
799,0.831667,0.860000,0.662230,0.709544
999,0.845000,0.885000,0.689971,0.766213
1199,0.842000,0.830000,0.676389,0.281943
1399,0.862500,0.965000,0.711656,0.903528
1599,0.876429,0.960000,0.735108,0.890351
1799,0.872500,0.845000,0.732793,0.691419
1999,0.866111,0.815000,0.718708,0.604447
2199,0.861500,0.820000,0.706451,0.572243
2399,0.867727,0.930000,0.725125,0.851836
2599,0.862500,0.805000,0.715046,0.607013
2799,0.863846,0.880000,0.719845,0.760312
2999,0.870714,0.960000,0.731367,0.888765
3199,0.867000,0.815000,0.723779,0.618321
3399,0.865313,0.840000,0.721972,0.683011
3599,0.868235,0.915000,0.727249,0.812981
3799,0.869722,0.895000,0.726990,0.579832
3999,0.873158,0.935000,0.734926,0.869215
4199,0.877000,0.950000,0.741968,0.883137
4399,0.875238,0.840000,0.736843,0.595398
4599,0.876591,0.905000,0.741467,0.809657
4799,0.876304,0.870000,0.740156,0.709302
4999,0.877708,0.910000,0.741364,0.740821
5199,0.876000,0.835000,0.739145,0.674428
5399,0.874423,0.835000,0.735769,0.657321
5599,0.877778,0.965000,0.742770,0.925957
5799,0.877857,0.880000,0.743709,0.761550
5999,0.875862,0.820000,0.738725,0.580175
6199,0.875667,0.870000,0.739940,0.730709
6399,0.874032,0.825000,0.736021,0.608589
6599,0.874062,0.875000,0.734765,0.641011
6799,0.875455,0.920000,0.738011,0.836801
6999,0.874706,0.850000,0.736390,0.685699
7199,0.871571,0.765000,0.729674,0.505679
7399,0.873056,0.925000,0.734440,0.838675
7599,0.874054,0.910000,0.736839,0.817814
7799,0.873553,0.855000,0.737145,0.690502
7999,0.874231,0.900000,0.739276,0.799217
8199,0.874000,0.865000,0.739562,0.727713
8399,0.873659,0.860000,0.739742,0.710744
8599,0.872024,0.805000,0.736569,0.609375
8799,0.872558,0.895000,0.738354,0.784394
8999,0.871591,0.830000,0.736995,0.660000
9199,0.872778,0.925000,0.739587,0.849669
9399,0.868587,0.680000,0.731729,0.381523
9599,0.867021,0.795000,0.729299,0.558475
9799,0.866042,0.820000,0.727472,0.645669
9999,0.867041,0.915000,0.729680,0.830508
