# TEST CONFIGURATION BEGIN
# FileStream(filename='elec.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] OzaBaggingAdwin(base_estimator=KNNAdwin(leaf_size=30, max_window_size=1000, n_neighbors=5, nominal_attributes=None), n_estimators=10, random_state=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='online_drift.OzaBaggingAdwin.elec.csv', pretrain_size=200, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
200,1.000000,1.000000,1.000000,1.000000
399,0.835000,0.835000,0.658385,0.658385
599,0.780000,0.725000,0.553571,0.451645
799,0.815000,0.885000,0.629481,0.766213
999,0.821250,0.840000,0.642366,0.680862
1199,0.820000,0.815000,0.630906,0.268775
1399,0.821667,0.830000,0.622230,0.436246
1599,0.840714,0.955000,0.653627,0.868190
1799,0.830625,0.760000,0.640863,0.521912
1999,0.818333,0.720000,0.612293,0.361896
2199,0.812500,0.760000,0.594876,0.387755
2399,0.806364,0.745000,0.587041,0.517502
2599,0.806250,0.805000,0.587288,0.589733
2799,0.804231,0.780000,0.585670,0.559162
2999,0.805714,0.825000,0.585781,0.587847
3199,0.801667,0.745000,0.579960,0.498525
3399,0.804375,0.845000,0.589813,0.691174
3599,0.809706,0.895000,0.600205,0.774194
3799,0.811389,0.840000,0.597848,0.260458
3999,0.812105,0.825000,0.598875,0.622845
4199,0.814000,0.850000,0.600640,0.619820
4399,0.813095,0.795000,0.595536,0.418275
4599,0.813409,0.820000,0.600181,0.639170
4799,0.815000,0.850000,0.603763,0.681799
4999,0.815833,0.835000,0.602666,0.514991
5199,0.814600,0.785000,0.603071,0.579092
5399,0.808654,0.660000,0.589974,0.279661
5599,0.808889,0.815000,0.589464,0.570865
5799,0.805357,0.710000,0.584897,0.450706
5999,0.805862,0.820000,0.585818,0.611860
6199,0.805500,0.795000,0.587640,0.586276
6399,0.804516,0.775000,0.585797,0.532807
6599,0.805156,0.825000,0.585171,0.509804
6799,0.805152,0.805000,0.584969,0.583778
6999,0.804412,0.780000,0.583368,0.535228
7199,0.802000,0.720000,0.577853,0.399657
7399,0.798056,0.660000,0.571559,0.347158
7599,0.797297,0.770000,0.570753,0.535354
7799,0.797632,0.810000,0.574098,0.595228
7999,0.798077,0.815000,0.576730,0.627317
8199,0.798625,0.820000,0.579329,0.637389
8399,0.801951,0.935000,0.587813,0.866940
8599,0.802143,0.810000,0.589088,0.620266
8799,0.803953,0.880000,0.594048,0.755874
8999,0.804205,0.815000,0.595567,0.630000
9199,0.805333,0.855000,0.598155,0.708777
9399,0.803370,0.715000,0.594984,0.441067
9599,0.803298,0.800000,0.595736,0.593165
9799,0.803958,0.835000,0.597231,0.667339
9999,0.803367,0.775000,0.596402,0.552684
