# TEST CONFIGURATION BEGIN
# FileStream(filename='covtype.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=100, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.TPOTClassifier.covtype.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
100,0.690000,0.690000,0.618332,0.618332
300,0.620000,0.550000,0.535150,0.445625
500,0.586667,0.520000,0.494989,0.389643
700,0.595000,0.620000,0.507283,0.516908
900,0.575000,0.495000,0.482991,0.348639
1100,0.581667,0.615000,0.490930,0.446063
1300,0.585714,0.610000,0.492023,0.348697
1500,0.595625,0.665000,0.497070,0.428108
1700,0.617222,0.790000,0.516098,0.653351
1900,0.617500,0.620000,0.512781,0.466423
2100,0.612727,0.565000,0.504250,0.419884
2300,0.607917,0.555000,0.494804,0.356541
2500,0.608462,0.615000,0.489421,0.367401
2700,0.595357,0.425000,0.482911,0.270929
2900,0.593000,0.560000,0.491858,0.252590
3100,0.607187,0.820000,0.517293,0.666249
3300,0.611176,0.675000,0.526439,0.569323
3500,0.618889,0.750000,0.535496,0.418841
3700,0.621842,0.675000,0.538801,0.498360
3900,0.629750,0.780000,0.548921,0.715781
4100,0.636667,0.775000,0.559808,0.714766
4300,0.645000,0.820000,0.573458,0.769814
4500,0.653043,0.830000,0.587328,0.691554
4700,0.661250,0.850000,0.600078,0.740989
4900,0.666400,0.790000,0.607987,0.700812
5100,0.672885,0.835000,0.616773,0.775678
5300,0.675556,0.745000,0.620569,0.657810
5500,0.678929,0.770000,0.624792,0.714507
5700,0.680690,0.730000,0.626723,0.669097
5900,0.683667,0.770000,0.629835,0.698618
6100,0.680968,0.600000,0.626553,0.500109
6300,0.679531,0.635000,0.624685,0.545341
6500,0.680758,0.720000,0.625270,0.511897
6700,0.677500,0.570000,0.620856,0.396957
6900,0.675286,0.600000,0.618405,0.498464
7100,0.673889,0.625000,0.617075,0.501330
7300,0.673108,0.645000,0.615620,-0.097203
7500,0.674342,0.720000,0.616132,-0.065044
7700,0.677179,0.785000,0.618289,0.180093
7900,0.678500,0.730000,0.618434,-0.035276
8100,0.679024,0.700000,0.617495,-0.057082
8300,0.679405,0.695000,0.616312,0.053603
8500,0.676977,0.575000,0.611855,-0.048735
8700,0.676477,0.655000,0.609602,0.118042
8900,0.676000,0.655000,0.607380,0.184686
9100,0.678261,0.780000,0.608176,0.366815
9300,0.680106,0.765000,0.608436,0.309889
9500,0.681667,0.755000,0.608249,0.232396
9700,0.683163,0.755000,0.608037,0.291037
9900,0.684000,0.725000,0.606979,0.188850
