# TEST CONFIGURATION BEGIN
# FileStream(filename='elec.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=100, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.TPOTClassifier.elec.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
100,0.935000,0.935000,0.870052,0.870052
300,0.917500,0.900000,0.833544,0.794661
500,0.886667,0.825000,0.772049,0.650489
700,0.897500,0.930000,0.793321,0.857969
900,0.899000,0.905000,0.796668,0.810000
1100,0.897500,0.890000,0.794466,0.778939
1300,0.876429,0.750000,0.752156,0.511146
1500,0.867500,0.805000,0.733561,0.592306
1700,0.863889,0.835000,0.727147,0.674685
1900,0.863500,0.860000,0.726425,0.722360
2100,0.867273,0.905000,0.732849,0.778037
2300,0.870417,0.905000,0.739241,0.809314
2500,0.868462,0.845000,0.735672,0.690557
2700,0.868929,0.875000,0.737305,0.740179
2900,0.870667,0.895000,0.741312,0.758732
3100,0.867812,0.825000,0.735689,0.631811
3300,0.867647,0.865000,0.735282,0.662247
3500,0.860833,0.745000,0.721457,0.487437
3700,0.860789,0.860000,0.721512,0.709423
3900,0.852750,0.700000,0.705291,0.366621
4100,0.852619,0.850000,0.704963,0.696448
4300,0.850682,0.810000,0.700973,0.611452
4500,0.845435,0.730000,0.690675,0.475117
4700,0.845833,0.855000,0.691499,0.709942
4900,0.848200,0.905000,0.696377,0.795391
5100,0.847885,0.840000,0.695780,0.682886
5300,0.848333,0.860000,0.696737,0.710115
5500,0.848214,0.845000,0.696504,0.688129
5700,0.850000,0.900000,0.700082,0.794767
5900,0.851000,0.880000,0.702103,0.760670
6100,0.846290,0.705000,0.692762,0.430722
6300,0.845625,0.825000,0.691399,0.606299
6500,0.846515,0.875000,0.693160,0.749800
6700,0.847353,0.875000,0.694781,0.750499
6900,0.843429,0.710000,0.686654,0.046053
7100,0.839306,0.695000,0.678274,0.414812
7300,0.840270,0.875000,0.679943,0.692421
7500,0.836053,0.680000,0.671093,0.210656
7700,0.829103,0.565000,0.656700,0.000000
7900,0.824500,0.645000,0.647052,0.202964
8100,0.824756,0.835000,0.647110,0.603651
8300,0.823810,0.785000,0.644958,0.541089
8500,0.820465,0.680000,0.638026,0.352227
8700,0.820000,0.800000,0.636185,0.307479
8900,0.819333,0.790000,0.633923,0.324324
9100,0.817500,0.735000,0.629308,0.205397
9300,0.817872,0.835000,0.629331,0.576923
9500,0.815833,0.720000,0.625260,0.459877
9700,0.817755,0.910000,0.629461,0.820000
9900,0.819200,0.890000,0.632209,0.769029
