# TEST CONFIGURATION BEGIN
# FileStream(filename='hyperplane_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=100, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.TPOTClassifier.hyperplane_gen.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
100,0.645000,0.645000,0.290000,0.290000
300,0.660000,0.675000,0.321628,0.353491
500,0.651667,0.635000,0.305094,0.272038
700,0.647500,0.635000,0.295000,0.264261
900,0.638000,0.600000,0.276729,0.203822
1100,0.654167,0.735000,0.309886,0.471901
1300,0.650714,0.630000,0.303450,0.265071
1500,0.650000,0.645000,0.300600,0.279188
1700,0.655556,0.700000,0.311472,0.398255
1900,0.657500,0.675000,0.314531,0.344758
2100,0.655000,0.630000,0.308684,0.247356
2300,0.656250,0.670000,0.311723,0.342957
2500,0.659231,0.695000,0.317793,0.390000
2700,0.655714,0.610000,0.311324,0.228105
2900,0.657000,0.675000,0.314000,0.351038
3100,0.658438,0.680000,0.316875,0.360000
3300,0.655588,0.610000,0.311008,0.216553
3500,0.657222,0.685000,0.314284,0.370000
3700,0.655789,0.630000,0.311206,0.257103
3900,0.652500,0.590000,0.304505,0.177368
4100,0.650476,0.610000,0.300404,0.218045
4300,0.649773,0.635000,0.298651,0.266037
4500,0.645652,0.555000,0.290308,0.105887
4700,0.646042,0.655000,0.291437,0.314796
4900,0.647600,0.685000,0.293893,0.350515
5100,0.646923,0.630000,0.291907,0.236168
5300,0.645556,0.610000,0.288989,0.214106
5500,0.644821,0.625000,0.287831,0.259625
5700,0.643103,0.595000,0.284109,0.174648
5900,0.645167,0.705000,0.288895,0.413868
6100,0.644839,0.635000,0.288375,0.273053
6300,0.642969,0.585000,0.285173,0.184355
6500,0.642879,0.640000,0.285148,0.284081
6700,0.642794,0.640000,0.284733,0.267697
6900,0.642286,0.625000,0.283990,0.258454
7100,0.642222,0.640000,0.283758,0.275435
7300,0.639595,0.545000,0.278275,0.077266
7500,0.639605,0.640000,0.278290,0.279063
7700,0.638205,0.585000,0.275323,0.161616
7900,0.638250,0.640000,0.275182,0.269258
8100,0.636463,0.565000,0.271274,0.111338
8300,0.634762,0.565000,0.267580,0.112426
8500,0.633837,0.595000,0.265803,0.191778
8700,0.632727,0.585000,0.263736,0.180166
8900,0.631778,0.590000,0.261872,0.180000
9100,0.631196,0.605000,0.260374,0.190408
9300,0.630426,0.595000,0.258872,0.190000
9500,0.628229,0.525000,0.254466,0.047524
9700,0.625408,0.490000,0.248724,-0.028226
9900,0.626000,0.655000,0.249757,0.299492
