# TEST CONFIGURATION BEGIN
# FileStream(filename='led_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=100, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.TPOTClassifier.led_gen.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
100,0.365000,0.365000,0.292991,0.292991
300,0.340000,0.315000,0.265560,0.237618
500,0.345000,0.355000,0.270876,0.280154
700,0.337500,0.315000,0.263943,0.238931
900,0.348000,0.390000,0.275560,0.320542
1100,0.353333,0.380000,0.281540,0.311111
1300,0.353571,0.355000,0.281749,0.283652
1500,0.348750,0.315000,0.276505,0.239016
1700,0.348333,0.345000,0.275959,0.272364
1900,0.355500,0.420000,0.283941,0.358744
2100,0.357727,0.380000,0.286452,0.311035
2300,0.362083,0.410000,0.291094,0.341334
2500,0.366154,0.415000,0.295645,0.350253
2700,0.363571,0.330000,0.292926,0.256815
2900,0.361667,0.335000,0.290916,0.262320
3100,0.360000,0.335000,0.289103,0.261070
3300,0.361765,0.390000,0.291061,0.320126
3500,0.362222,0.370000,0.291565,0.300622
3700,0.363158,0.380000,0.292598,0.310747
3900,0.360750,0.315000,0.289901,0.239417
4100,0.362619,0.400000,0.291976,0.331569
4300,0.362727,0.365000,0.292104,0.293463
4500,0.364130,0.395000,0.293594,0.324588
4700,0.365625,0.400000,0.295221,0.331216
4900,0.365400,0.360000,0.294975,0.289520
5100,0.366346,0.390000,0.296015,0.321732
5300,0.366852,0.380000,0.296596,0.309134
5500,0.367857,0.395000,0.297742,0.327983
5700,0.368103,0.375000,0.297983,0.304145
5900,0.369000,0.395000,0.298945,0.327236
6100,0.369194,0.375000,0.299159,0.305401
6300,0.367656,0.320000,0.297453,0.242656
6500,0.368485,0.395000,0.298351,0.324324
6700,0.369118,0.390000,0.299062,0.321128
6900,0.371000,0.435000,0.301215,0.372414
7100,0.370833,0.365000,0.301042,0.295012
7300,0.370000,0.340000,0.300145,0.267115
7500,0.370921,0.405000,0.301131,0.333016
7700,0.372051,0.415000,0.302332,0.348099
7900,0.372250,0.380000,0.302549,0.309346
8100,0.371951,0.360000,0.302206,0.286391
8300,0.371071,0.335000,0.301231,0.259795
8500,0.370581,0.350000,0.300653,0.275383
8700,0.370341,0.360000,0.300405,0.287781
8900,0.370889,0.395000,0.301003,0.328244
9100,0.371304,0.390000,0.301468,0.321223
9300,0.371489,0.380000,0.301658,0.311322
9500,0.373021,0.445000,0.303321,0.379455
9700,0.372959,0.370000,0.303242,0.298734
9900,0.372200,0.335000,0.302395,0.259630
