# TEST CONFIGURATION BEGIN
# FileStream(filename='pokerhand.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=100, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.TPOTClassifier.pokerhand.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
100,0.965000,0.965000,0.857143,0.857143
300,0.942500,0.920000,0.791308,0.737490
500,0.920000,0.875000,0.821287,0.746347
700,0.935000,0.980000,0.870473,0.938847
900,0.944000,0.980000,0.881066,0.835729
1100,0.952500,0.995000,0.893000,0.975892
1300,0.957857,0.990000,0.900412,0.958480
1500,0.953125,0.920000,0.892228,0.841897
1700,0.955000,0.970000,0.896106,0.927501
1900,0.953000,0.935000,0.892682,0.863302
2100,0.891818,0.280000,0.763834,-0.013835
2300,0.857083,0.475000,0.693178,0.116756
2500,0.867692,0.995000,0.711372,0.985929
2700,0.875714,0.980000,0.725161,0.944406
2900,0.854000,0.550000,0.684147,0.242360
3100,0.821562,0.335000,0.621156,0.029905
3300,0.829706,0.960000,0.631236,0.843628
3500,0.836667,0.955000,0.641546,0.863595
3700,0.808421,0.300000,0.588345,0.031912
3900,0.809000,0.820000,0.584283,0.409739
4100,0.818095,1.000000,0.596943,1.000000
4300,0.824318,0.955000,0.610658,0.902110
4500,0.831304,0.985000,0.624526,0.963215
4700,0.836458,0.955000,0.638725,0.913224
4900,0.811400,0.210000,0.594467,-0.107994
5100,0.810769,0.795000,0.592698,0.546435
5300,0.817037,0.980000,0.604500,0.952256
5500,0.795357,0.210000,0.567188,-0.110291
5700,0.795690,0.805000,0.564721,0.434044
5900,0.799000,0.895000,0.570872,0.762712
6100,0.781774,0.265000,0.539075,-0.009650
6300,0.788594,1.000000,0.547125,1.000000
6500,0.791364,0.880000,0.554787,0.774680
6700,0.795882,0.945000,0.564423,0.886522
6900,0.781857,0.305000,0.540913,-0.046687
7100,0.786944,0.965000,0.550093,0.919215
7300,0.774054,0.310000,0.528755,-0.067120
7500,0.778289,0.935000,0.534916,0.833034
7700,0.767949,0.375000,0.516714,0.030181
7900,0.769250,0.820000,0.518527,0.635314
8100,0.761585,0.455000,0.507736,-0.079956
8300,0.753571,0.425000,0.493552,-0.020589
8500,0.745581,0.410000,0.481213,-0.180000
8700,0.736932,0.365000,0.466193,-0.202652
8900,0.732222,0.525000,0.461217,0.000000
9100,0.729348,0.600000,0.460961,0.000000
9300,0.722766,0.420000,0.450412,0.000000
9500,0.718021,0.495000,0.445906,0.000000
9700,0.711837,0.415000,0.440213,-0.104607
9900,0.712800,0.760000,0.449226,0.336283
