# TEST CONFIGURATION BEGIN
# FileStream(filename='rbf_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=100, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.TPOTClassifier.rbf_gen.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
100,0.630000,0.630000,0.263315,0.263315
300,0.607500,0.585000,0.213703,0.166499
500,0.600000,0.585000,0.201703,0.177403
700,0.608750,0.635000,0.219169,0.271312
900,0.596000,0.545000,0.192814,0.088907
1100,0.604167,0.645000,0.207343,0.286576
1300,0.602143,0.590000,0.202430,0.170040
1500,0.601875,0.600000,0.202087,0.199760
1700,0.600556,0.590000,0.198916,0.177698
1900,0.603500,0.630000,0.204848,0.258220
2100,0.603182,0.600000,0.204276,0.198798
2300,0.604583,0.620000,0.207294,0.243631
2500,0.605000,0.610000,0.207778,0.212439
2700,0.604643,0.600000,0.207123,0.199039
2900,0.607000,0.640000,0.211935,0.279496
3100,0.608437,0.630000,0.215107,0.261845
3300,0.605882,0.565000,0.210285,0.130869
3500,0.605556,0.600000,0.209447,0.193955
3700,0.605526,0.605000,0.209058,0.197481
3900,0.606500,0.625000,0.211257,0.253137
4100,0.609762,0.675000,0.217618,0.345681
4300,0.611818,0.655000,0.221971,0.311377
4500,0.613043,0.640000,0.224046,0.268293
4700,0.610833,0.560000,0.219649,0.118590
4900,0.612000,0.640000,0.221768,0.269777
5100,0.612692,0.630000,0.222854,0.244204
5300,0.613889,0.645000,0.225254,0.287864
5500,0.614464,0.630000,0.226350,0.255907
5700,0.612759,0.565000,0.222810,0.122984
5900,0.613000,0.620000,0.223428,0.240228
6100,0.611774,0.575000,0.220898,0.144353
6300,0.610938,0.585000,0.219335,0.170498
6500,0.610152,0.585000,0.217847,0.174294
6700,0.612941,0.705000,0.223220,0.399063
6900,0.612714,0.605000,0.222568,0.196501
7100,0.610833,0.545000,0.218905,0.092722
7300,0.610946,0.615000,0.219382,0.228612
7500,0.612632,0.675000,0.222639,0.342105
7700,0.612821,0.620000,0.223159,0.240076
7900,0.612250,0.590000,0.222021,0.177780
8100,0.611341,0.575000,0.220235,0.148808
8300,0.612619,0.665000,0.222571,0.311832
8500,0.611744,0.575000,0.220645,0.134420
8700,0.611023,0.580000,0.219140,0.154674
8900,0.611444,0.630000,0.219816,0.245514
9100,0.612065,0.640000,0.221073,0.278485
9300,0.612979,0.655000,0.222841,0.303874
9500,0.612292,0.580000,0.221455,0.157641
9700,0.611122,0.555000,0.218967,0.094793
9900,0.612300,0.670000,0.221279,0.334677
