# TEST CONFIGURATION BEGIN
# FileStream(filename='sea_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=100, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.TPOTClassifier.sea_gen.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
100,0.900000,0.900000,0.796002,0.796002
300,0.875000,0.850000,0.743010,0.688797
500,0.870000,0.860000,0.734043,0.716024
700,0.871250,0.875000,0.735677,0.740287
900,0.868000,0.855000,0.727786,0.694544
1100,0.872500,0.895000,0.736887,0.782564
1300,0.872143,0.870000,0.736889,0.736201
1500,0.876250,0.905000,0.745376,0.804728
1700,0.876111,0.875000,0.744904,0.741308
1900,0.876500,0.880000,0.745784,0.753796
2100,0.877273,0.885000,0.746337,0.748634
2300,0.876667,0.870000,0.744601,0.724109
2500,0.877692,0.890000,0.747417,0.778203
2700,0.875000,0.840000,0.741580,0.664605
2900,0.875000,0.875000,0.741239,0.735953
3100,0.872188,0.830000,0.735891,0.656392
3300,0.873235,0.890000,0.737893,0.770235
3500,0.871111,0.835000,0.733358,0.655604
3700,0.873158,0.910000,0.737543,0.813336
3900,0.871750,0.845000,0.734357,0.672096
4100,0.872381,0.885000,0.736043,0.767583
4300,0.870682,0.835000,0.732780,0.665179
4500,0.867609,0.800000,0.725840,0.557669
4700,0.865000,0.805000,0.720164,0.585635
4900,0.861200,0.770000,0.712094,0.519381
5100,0.857500,0.765000,0.704315,0.515164
5300,0.854444,0.775000,0.697059,0.469465
5500,0.852857,0.810000,0.692832,0.548479
5700,0.850690,0.790000,0.687988,0.551282
5900,0.848500,0.785000,0.682985,0.529643
6100,0.843548,0.695000,0.672219,0.337101
6300,0.841406,0.775000,0.667366,0.508734
6500,0.839545,0.780000,0.662889,0.502993
6700,0.837059,0.755000,0.657188,0.453978
6900,0.835143,0.770000,0.653003,0.508547
7100,0.832083,0.725000,0.646279,0.406176
7300,0.830676,0.780000,0.643127,0.532512
7500,0.827895,0.725000,0.637361,0.436822
7700,0.827051,0.795000,0.635398,0.559140
7900,0.824500,0.725000,0.629789,0.404117
8100,0.822683,0.750000,0.625936,0.472184
8300,0.821786,0.785000,0.623940,0.542942
8500,0.820581,0.770000,0.621038,0.490305
8700,0.819432,0.770000,0.618917,0.530229
8900,0.818444,0.775000,0.616172,0.470339
9100,0.817391,0.770000,0.613957,0.519381
9300,0.815851,0.745000,0.610838,0.477780
9500,0.815312,0.790000,0.609376,0.534626
9700,0.814286,0.765000,0.607285,0.508677
9900,0.812700,0.735000,0.603723,0.425537
