# TEST CONFIGURATION BEGIN
# FileStream(filename='stagger_gen.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=100, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch.TPOTClassifier.stagger_gen.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
100,1.000000,1.000000,1.000000,1.000000
300,1.000000,1.000000,1.000000,1.000000
500,1.000000,1.000000,1.000000,1.000000
700,1.000000,1.000000,1.000000,1.000000
900,1.000000,1.000000,1.000000,1.000000
1100,1.000000,1.000000,1.000000,1.000000
1300,1.000000,1.000000,1.000000,1.000000
1500,1.000000,1.000000,1.000000,1.000000
1700,1.000000,1.000000,1.000000,1.000000
1900,1.000000,1.000000,1.000000,1.000000
2100,1.000000,1.000000,1.000000,1.000000
2300,1.000000,1.000000,1.000000,1.000000
2500,1.000000,1.000000,1.000000,1.000000
2700,1.000000,1.000000,1.000000,1.000000
2900,1.000000,1.000000,1.000000,1.000000
3100,1.000000,1.000000,1.000000,1.000000
3300,1.000000,1.000000,1.000000,1.000000
3500,0.999444,0.990000,0.998880,0.979968
3700,0.998421,0.980000,0.996815,0.958519
3900,0.996500,0.960000,0.992942,0.919638
4100,0.991905,0.900000,0.983670,0.797591
4300,0.983409,0.805000,0.966508,0.599178
4500,0.974348,0.775000,0.948188,0.539406
4700,0.961458,0.665000,0.922161,0.326768
4900,0.946000,0.575000,0.890869,0.128384
5100,0.933462,0.620000,0.865492,0.235412
5300,0.921111,0.600000,0.840418,0.181334
5500,0.903929,0.440000,0.805551,-0.156069
5700,0.892069,0.560000,0.781365,0.077084
5900,0.881167,0.565000,0.759200,0.120501
6100,0.868871,0.500000,0.734210,-0.013788
6300,0.857656,0.510000,0.711224,-0.035065
6500,0.845606,0.460000,0.686742,-0.093117
6700,0.836029,0.520000,0.666954,-0.029160
6900,0.826143,0.490000,0.646645,-0.061063
7100,0.815556,0.445000,0.625154,-0.119403
7300,0.806892,0.495000,0.607571,-0.022267
7500,0.798421,0.485000,0.590304,-0.044625
7700,0.791282,0.520000,0.575447,-0.017704
7900,0.784250,0.510000,0.560929,-0.021685
8100,0.777073,0.490000,0.546453,-0.027708
8300,0.770238,0.490000,0.532797,-0.013614
8500,0.764419,0.520000,0.520953,0.025875
8700,0.757159,0.445000,0.506371,-0.110000
8900,0.752000,0.525000,0.495580,-0.002956
9100,0.747391,0.540000,0.485863,0.021797
9300,0.741809,0.485000,0.474522,-0.039984
9500,0.736667,0.495000,0.463948,-0.038667
9700,0.731735,0.495000,0.453635,-0.062487
9900,0.726900,0.490000,0.443814,-0.032389
