# TEST CONFIGURATION BEGIN
# FileStream(filename='weather.csv', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch_weather.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.825000,0.825000,0.495095,0.495095
399,0.780000,0.735000,0.488134,0.449064
599,0.815000,0.885000,0.522813,0.580751
799,0.790000,0.715000,0.496912,0.405383
999,0.799000,0.835000,0.503390,0.524496
1199,0.807500,0.850000,0.536548,0.673345
1399,0.809286,0.820000,0.530581,0.474529
1599,0.813125,0.840000,0.533487,0.550562
1799,0.812778,0.810000,0.533703,0.535225
1999,0.816000,0.845000,0.531795,0.484193
2199,0.810000,0.750000,0.521843,0.439273
2399,0.807917,0.785000,0.512340,0.390071
2599,0.799615,0.700000,0.500579,0.360273
2799,0.802857,0.845000,0.498851,0.412879
2999,0.800333,0.765000,0.498154,0.478589
3199,0.800312,0.800000,0.490588,0.299106
3399,0.798235,0.765000,0.481987,0.320613
3599,0.796389,0.765000,0.475503,0.369128
3799,0.796053,0.790000,0.476204,0.488304
3999,0.793250,0.740000,0.473175,0.426808
4199,0.796429,0.860000,0.479500,0.614059
4399,0.795909,0.785000,0.477370,0.433316
4599,0.796522,0.810000,0.475076,0.396825
4799,0.793125,0.715000,0.466417,0.274440
4999,0.793400,0.800000,0.463416,0.357636
5199,0.793654,0.800000,0.460248,0.341347
5399,0.794815,0.825000,0.461089,0.480249
5599,0.794107,0.775000,0.459445,0.416039
5799,0.795345,0.830000,0.462797,0.556310
5999,0.797333,0.855000,0.463745,0.472727
6199,0.795484,0.740000,0.461087,0.386792
6399,0.797969,0.875000,0.462084,0.445184
6599,0.797879,0.795000,0.462029,0.460952
6799,0.800441,0.885000,0.463238,0.452902
6999,0.800714,0.810000,0.467909,0.579600
7199,0.801389,0.825000,0.469716,0.533582
7399,0.800946,0.785000,0.471982,0.522647
7599,0.800000,0.765000,0.471312,0.446277
7799,0.800385,0.815000,0.469897,0.387417
7999,0.798875,0.740000,0.469600,0.442539
8199,0.797683,0.750000,0.466981,0.374922
8399,0.793929,0.640000,0.462818,0.288327
8599,0.793605,0.780000,0.461733,0.423480
8799,0.793182,0.775000,0.465543,0.538367
8999,0.793222,0.795000,0.465856,0.479431
9199,0.793152,0.790000,0.467205,0.514787
9399,0.792979,0.785000,0.465334,0.358209
9599,0.793438,0.815000,0.464351,0.382922
9799,0.792755,0.760000,0.465463,0.488491
9999,0.793200,0.815000,0.463988,0.324324
