# TEST CONFIGURATION BEGIN
# KafkaStream(topic='covtype', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch_covtype.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.740000,0.740000,0.632561,0.632561
399,0.645000,0.550000,0.508986,0.391316
599,0.571667,0.425000,0.418480,0.244167
799,0.541250,0.450000,0.389169,0.304546
999,0.518000,0.425000,0.372905,0.309931
1199,0.504167,0.435000,0.362870,0.301607
1399,0.483571,0.360000,0.348060,0.258551
1599,0.485000,0.495000,0.373978,0.355292
1799,0.490556,0.535000,0.391603,0.407870
1999,0.487500,0.460000,0.393441,0.354511
2199,0.480909,0.415000,0.389581,0.282187
2399,0.469167,0.340000,0.379827,0.212317
2599,0.456923,0.310000,0.367996,0.180523
2799,0.449643,0.355000,0.362271,0.248733
2999,0.440000,0.305000,0.353525,0.197205
3199,0.437812,0.405000,0.352344,0.295232
3399,0.437353,0.430000,0.351864,0.289830
3599,0.441389,0.510000,0.355222,0.338374
3799,0.450789,0.620000,0.365213,0.502862
3999,0.454750,0.530000,0.368650,0.358624
4199,0.463095,0.630000,0.378335,0.423474
4399,0.461364,0.425000,0.376263,0.101913
4599,0.460652,0.445000,0.374543,0.132202
4799,0.447917,0.155000,0.359208,-0.111330
4999,0.439800,0.245000,0.348327,-0.088838
5199,0.435192,0.320000,0.341080,0.023480
5399,0.432593,0.365000,0.335786,-0.036777
5599,0.436071,0.530000,0.337665,0.281236
5799,0.431379,0.300000,0.333201,0.203187
5999,0.419833,0.085000,0.322237,0.031285
6199,0.415806,0.295000,0.319717,0.159814
6399,0.413438,0.340000,0.318129,0.226510
6599,0.426212,0.835000,0.332148,0.634491
6799,0.435882,0.755000,0.341697,0.628380
6999,0.447571,0.845000,0.354234,0.802359
7199,0.458472,0.840000,0.367272,0.793282
7399,0.468108,0.815000,0.379460,0.761113
7599,0.479211,0.890000,0.393775,0.785030
7799,0.489872,0.895000,0.407202,0.809377
7999,0.499000,0.855000,0.418414,0.788298
8199,0.500000,0.540000,0.420146,0.382944
8399,0.497619,0.400000,0.417977,0.271668
8599,0.497093,0.475000,0.417179,0.369899
8799,0.495000,0.405000,0.414585,0.277693
8999,0.489000,0.225000,0.407826,0.114412
9199,0.489239,0.500000,0.407803,0.350692
9399,0.491915,0.615000,0.410319,0.496518
9599,0.489063,0.355000,0.406810,0.075865
9799,0.484082,0.245000,0.400452,-0.087857
9999,0.480100,0.285000,0.396105,0.222446
