# TEST CONFIGURATION BEGIN
# KafkaStream(topic='elec', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch_elec.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.760000,0.760000,0.534884,0.534884
399,0.732500,0.705000,0.460386,0.369793
599,0.775000,0.860000,0.534161,0.678161
799,0.775000,0.775000,0.543660,0.565133
999,0.794000,0.870000,0.578884,0.721180
1199,0.809167,0.885000,0.614459,0.765784
1399,0.807143,0.795000,0.610132,0.586193
1599,0.815000,0.870000,0.619811,0.624277
1799,0.817222,0.835000,0.622512,0.647812
1999,0.817000,0.815000,0.620729,0.606299
2199,0.806818,0.705000,0.597764,0.368308
2399,0.787917,0.580000,0.560953,0.266760
2599,0.791538,0.835000,0.568194,0.656608
2799,0.786786,0.725000,0.561449,0.464564
2999,0.793667,0.890000,0.577449,0.780000
3199,0.799063,0.880000,0.589640,0.761337
3399,0.804706,0.895000,0.602703,0.789790
3599,0.806389,0.835000,0.606868,0.670132
3799,0.808158,0.840000,0.611514,0.682288
3999,0.812000,0.885000,0.619797,0.770000
4199,0.814762,0.870000,0.625387,0.737718
4399,0.813182,0.780000,0.622624,0.567270
4599,0.812826,0.805000,0.622732,0.602770
4799,0.812292,0.800000,0.621357,0.588266
4999,0.811800,0.800000,0.620536,0.604117
5199,0.815962,0.920000,0.630116,0.817747
5399,0.817037,0.845000,0.632461,0.689814
5599,0.816607,0.805000,0.631602,0.609218
5799,0.816552,0.815000,0.631090,0.605123
5999,0.815333,0.780000,0.628053,0.502206
6199,0.813871,0.770000,0.624728,0.505961
6399,0.812656,0.775000,0.621377,0.427335
6599,0.807424,0.640000,0.610622,0.271550
6799,0.807059,0.795000,0.610495,0.586276
6999,0.804857,0.730000,0.605599,0.408738
7199,0.803194,0.745000,0.602106,0.476816
7399,0.801757,0.750000,0.598986,0.479979
7599,0.799737,0.725000,0.595331,0.463415
7799,0.800128,0.815000,0.596203,0.630000
7999,0.802375,0.890000,0.601445,0.767810
8199,0.803537,0.850000,0.603829,0.699278
8399,0.804881,0.860000,0.606962,0.712732
8599,0.805698,0.840000,0.608503,0.680000
8799,0.807273,0.875000,0.612043,0.746964
8999,0.808667,0.870000,0.614990,0.740829
9199,0.805870,0.680000,0.609399,0.376461
9399,0.805532,0.790000,0.608241,0.493671
9599,0.806458,0.850000,0.610288,0.701908
9799,0.807245,0.845000,0.611897,0.691788
9999,0.805400,0.715000,0.607428,0.068627
