# TEST CONFIGURATION BEGIN
# KafkaStream(topic='moving_squares', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch_moving_squares.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.250000,0.250000,0.000000,0.000000
399,0.250000,0.250000,0.000000,0.000000
599,0.250000,0.250000,0.000000,0.000000
799,0.250000,0.250000,0.000000,0.000000
999,0.250000,0.250000,0.000000,0.000000
1199,0.250000,0.250000,0.000000,0.000000
1399,0.250000,0.250000,0.000000,0.000000
1599,0.250000,0.250000,0.000000,0.000000
1799,0.250000,0.250000,0.000000,0.000000
1999,0.250000,0.250000,0.000000,0.000000
2199,0.250000,0.250000,0.000000,0.000000
2399,0.257500,0.340000,0.010000,0.120000
2599,0.303077,0.850000,0.070769,0.800000
2799,0.327857,0.650000,0.103810,0.533333
2999,0.323000,0.255000,0.097333,0.006667
3199,0.318437,0.250000,0.091250,0.000000
3399,0.314412,0.250000,0.085882,0.000000
3599,0.310833,0.250000,0.081111,0.000000
3799,0.307632,0.250000,0.076842,0.000000
3999,0.304750,0.250000,0.073000,0.000000
4199,0.302143,0.250000,0.069524,0.000000
4399,0.299773,0.250000,0.066364,0.000000
4599,0.297826,0.255000,0.063768,0.006667
4799,0.312708,0.655000,0.083611,0.540000
4999,0.334800,0.865000,0.113067,0.820000
5199,0.334231,0.320000,0.112308,0.093333
5399,0.331111,0.250000,0.108148,0.000000
5599,0.328214,0.250000,0.104286,0.000000
5799,0.325517,0.250000,0.100690,0.000000
5999,0.323000,0.250000,0.097333,0.000000
6199,0.320645,0.250000,0.094194,0.000000
6399,0.318437,0.250000,0.091250,0.000000
6599,0.316364,0.250000,0.088485,0.000000
6799,0.314412,0.250000,0.085882,0.000000
6999,0.312571,0.250000,0.083429,0.000000
7199,0.310833,0.250000,0.081111,0.000000
7399,0.309189,0.250000,0.078919,0.000000
7599,0.307632,0.250000,0.076842,0.000000
7799,0.306154,0.250000,0.074872,0.000000
7999,0.304750,0.250000,0.073000,0.000000
8199,0.306220,0.365000,0.074959,0.153333
8399,0.318810,0.835000,0.091746,0.780000
8599,0.326512,0.650000,0.102016,0.533333
8799,0.324886,0.255000,0.099848,0.006667
8999,0.323222,0.250000,0.097630,0.000000
9199,0.321630,0.250000,0.095507,0.000000
9399,0.320106,0.250000,0.093475,0.000000
9599,0.318646,0.250000,0.091528,0.000000
9799,0.317245,0.250000,0.089660,0.000000
9999,0.315900,0.250000,0.087867,0.000000
