# TEST CONFIGURATION BEGIN
# KafkaStream(topic='sea_big', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch_sea_big.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.905000,0.905000,0.808738,0.808738
399,0.890000,0.875000,0.778271,0.747730
599,0.888333,0.885000,0.774137,0.765354
799,0.891250,0.900000,0.778132,0.787978
999,0.892000,0.895000,0.780804,0.789621
1199,0.891667,0.890000,0.778763,0.764454
1399,0.895000,0.915000,0.785135,0.823980
1599,0.895625,0.900000,0.786102,0.792703
1799,0.896111,0.900000,0.786743,0.791688
1999,0.894500,0.880000,0.782675,0.742600
2199,0.896364,0.915000,0.784925,0.800423
2399,0.896667,0.900000,0.784304,0.770326
2599,0.895000,0.875000,0.780459,0.732678
2799,0.897143,0.925000,0.784824,0.842005
2999,0.896333,0.885000,0.783106,0.759011
3199,0.897500,0.915000,0.786391,0.829386
3399,0.898235,0.910000,0.788689,0.819549
3599,0.895556,0.850000,0.783149,0.689280
3799,0.895526,0.895000,0.783560,0.788477
3999,0.896250,0.910000,0.785663,0.819874
4199,0.897381,0.920000,0.788147,0.836868
4399,0.895909,0.865000,0.785216,0.724208
4599,0.895217,0.880000,0.783886,0.754877
4799,0.894583,0.880000,0.782851,0.758065
4999,0.894400,0.890000,0.782601,0.776309
5199,0.894615,0.900000,0.783215,0.797571
5399,0.895926,0.930000,0.785646,0.849866
5599,0.893929,0.840000,0.781515,0.669831
5799,0.894138,0.900000,0.781518,0.775659
5999,0.895167,0.925000,0.783515,0.842105
6199,0.894194,0.865000,0.781467,0.719684
6399,0.892969,0.855000,0.779057,0.705225
6599,0.893030,0.895000,0.779308,0.786672
6799,0.893088,0.895000,0.779484,0.785276
6999,0.893429,0.905000,0.780008,0.797052
7199,0.893472,0.895000,0.780102,0.783416
7399,0.892838,0.870000,0.778726,0.728460
7599,0.892237,0.870000,0.777371,0.725507
7799,0.891795,0.875000,0.776241,0.728791
7999,0.891750,0.890000,0.776066,0.768835
8199,0.892805,0.935000,0.778256,0.865924
8399,0.892262,0.870000,0.777089,0.729026
8599,0.892907,0.920000,0.778545,0.837679
8799,0.893182,0.905000,0.779135,0.804607
8999,0.892778,0.875000,0.778384,0.746502
9199,0.893696,0.935000,0.780200,0.863100
9399,0.894149,0.915000,0.781045,0.820182
9599,0.893125,0.845000,0.778939,0.681398
9799,0.892551,0.865000,0.778017,0.729838
9999,0.892300,0.880000,0.777684,0.759205
