# TEST CONFIGURATION BEGIN
# KafkaStream(topic='weather', target_idx=-1, n_targets=1, cat_features=None)
# EvaluatePretrained(batch_size=1, data_points_for_classification=False, max_samples=10000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='batch_weather.csv', restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
199,0.810000,0.810000,0.439197,0.439197
399,0.782500,0.755000,0.486423,0.486373
599,0.813333,0.875000,0.510111,0.533930
799,0.783750,0.695000,0.471627,0.353128
999,0.796000,0.845000,0.490405,0.570042
1199,0.807500,0.865000,0.534396,0.709802
1399,0.805714,0.795000,0.521470,0.422698
1599,0.811250,0.850000,0.528516,0.578652
1799,0.810556,0.805000,0.527656,0.520767
1999,0.813500,0.840000,0.525186,0.472556
2199,0.806818,0.740000,0.512233,0.406393
2399,0.806667,0.805000,0.508129,0.455155
2599,0.796923,0.680000,0.492554,0.314261
2799,0.800000,0.840000,0.490413,0.398496
2999,0.798667,0.780000,0.493464,0.516696
3199,0.798438,0.795000,0.484484,0.246601
3399,0.797353,0.780000,0.477323,0.332929
3599,0.795556,0.765000,0.470465,0.357397
3799,0.795263,0.790000,0.469475,0.458763
3999,0.791750,0.725000,0.464023,0.382855
4199,0.793571,0.830000,0.466325,0.513243
4399,0.791136,0.740000,0.458682,0.294915
4599,0.791739,0.805000,0.456038,0.365854
4799,0.787708,0.695000,0.444718,0.185798
4999,0.788000,0.795000,0.441521,0.329188
5199,0.787500,0.775000,0.435799,0.226538
5399,0.788704,0.820000,0.435930,0.430380
5599,0.788571,0.785000,0.435944,0.436583
5799,0.788276,0.780000,0.434741,0.400136
5999,0.789667,0.830000,0.433519,0.346154
6199,0.789032,0.770000,0.432899,0.414386
6399,0.791719,0.875000,0.434550,0.462828
6599,0.790909,0.765000,0.432915,0.382067
6799,0.793529,0.880000,0.434198,0.438334
6999,0.793714,0.800000,0.438764,0.548176
7199,0.794028,0.805000,0.439184,0.455307
7399,0.793243,0.765000,0.439494,0.441141
7599,0.791447,0.725000,0.436735,0.343675
7799,0.792179,0.820000,0.435505,0.347826
7999,0.790500,0.725000,0.434816,0.402304
8199,0.789268,0.740000,0.432169,0.340353
8399,0.785000,0.610000,0.426112,0.233566
8599,0.784186,0.750000,0.423774,0.333689
8799,0.783182,0.740000,0.425784,0.455440
8999,0.783444,0.795000,0.426526,0.459673
9199,0.783478,0.785000,0.428002,0.484907
9399,0.783404,0.780000,0.426032,0.307632
9599,0.783646,0.795000,0.424156,0.282715
9799,0.782857,0.745000,0.424847,0.444081
9999,0.783500,0.815000,0.423856,0.324324
